dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8
pathmnist,el2n_top,0.05,1,1,0,4491,1,499,2482b34686e5487c1aafd353e6df4a73206693aefdf74e44c1927676c1eea2c3,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_1/results/pathmnist/el2n_top/ratio_0.05/selection_seed_1/train_seed_1/aug_0/final.pt,53d9ce46923999b708ae3f802d322f08eb4b5c97e6ba930e14c9b27745fd2407,clean,0,7180,9,0.4855153203342618,0.470178335501855,0.0023612750885478157,2.4135593289374153,0.846404442280544,0.3577541047069024,0.47318941504178275,5744,0.3605417051414934,2205,0.9626307922272048,0.0023612750885478157,0.3333333333333333,1.0,0.221256038647343,0.30067567567567566,0.6585695006747638,0.46080760095011875,0.291970802919708
pathmnist,eva,0.05,1,1,0,4491,1,499,6e82fed3baf837e58f2f62bb03530945b455a144359b3f0284ce326a486a7139,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_1/results/pathmnist/eva/ratio_0.05/selection_seed_1/train_seed_1/aug_0/final.pt,7dfdc850ced0d38f493ca4cf8a55eb2b4a74f4f9e749b2c2f3e8b3f21d26859a,clean,0,7180,9,0.5959610027855153,0.6340360626711575,0.0,2.206959918274733,0.6944197410407555,0.2847087415521523,0.3709958217270195,5744,0.3977825669169297,2029,0.42451420029895365,0.0,0.8702064896755162,0.9968454258675079,0.8666666666666667,0.6824324324324325,0.9203778677462888,0.4489311163895487,0.49635036496350365
pathmnist,facility,0.05,1,1,0,4491,1,499,9b8ad32e3bce74e3869358f5dd7ebff33ea4e4a400a16f87a9ed05ad8bc95fd9,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_1/results/pathmnist/facility/ratio_0.05/selection_seed_1/train_seed_1/aug_0/final.pt,e71ccad33f6066f511fda20160b94529a56c71a1ba9a8d3c730d4542d19b27fb,clean,0,7180,9,0.8977715877437326,0.8608859266291762,0.45368171021377673,0.36121124883146555,0.1579285524793568,0.03239478132269841,0.036385793871866294,5744,0.020567740332220894,296,0.8946188340807175,1.0,0.7640117994100295,1.0,0.9516908212560387,0.793918918918919,0.9500674763832658,0.45368171021377673,0.9399837793998378
pathmnist,forgetting,0.05,1,1,0,4491,1,499,bb81a792ba27671fa9ed8f11b6bb419a4bfa5b5ede89f68bbbaada9037bebfc8,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_1/results/pathmnist/forgetting/ratio_0.05/selection_seed_1/train_seed_1/aug_0/final.pt,361f2631da88aa1668d89006b15fa7c332ff2ee5798f9d884fcf344d3d18cc0f,clean,0,7180,9,0.5622562674094708,0.5901097047725102,0.0011806375442739079,2.615378930207851,0.767729499368704,0.3325122504928318,0.408600278551532,5744,0.45831647886784976,2316,0.7563527653213752,0.0011806375442739079,0.6194690265486725,1.0,0.3207729468599034,0.722972972972973,0.9257759784075573,0.5605700712589073,0.40389294403892945
pathmnist,fps,0.05,1,1,0,4491,1,499,0d8ef8b08bb8338a70317de5c17c91dd0996ed4c7dfda5bf41652304e962121d,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_1/results/pathmnist/fps/ratio_0.05/selection_seed_1/train_seed_1/aug_0/final.pt,19e0bf5e56807fc3df5c61d34cda9953dea8f2af80603a3e3e07c5678491ea7d,clean,0,7180,9,0.8596100278551532,0.8239890326051094,0.38954869358669836,0.4525683316395145,0.211428234826568,0.04784138656758331,0.06302228412256268,5744,0.03123568396135273,399,0.8475336322869955,1.0,0.7492625368731564,1.0,0.9043478260869565,0.7483108108108109,0.8758434547908233,0.38954869358669836,0.9010543390105434
pathmnist,graph_a2,0.05,1,1,0,4491,1,499,6103b0fb2d46f76830295d0b60185e0e72037f0a8582ea895cf628d7cca6c4df,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_1/results/pathmnist/graph_a2/ratio_0.05/selection_seed_1/train_seed_1/aug_0/final.pt,97ff80cf5b68781218f5406e3c3cef5282c42286a4b5ced0cdd3e8735843bc5f,clean,0,7180,9,0.8919220055710306,0.8668822281210177,0.4655581947743468,0.3824304737543719,0.1580988607236351,0.03602372383423835,0.029596100278551533,5744,0.025013808978483633,284,0.8721973094170403,1.0,0.887905604719764,0.998422712933754,0.9033816425120773,0.8057432432432432,0.9271255060728745,0.4655581947743468,0.9416058394160584
pathmnist,herding,0.05,1,1,0,4491,1,499,0f2fe40680c930dbeae06da8408f41664ffe85a265d6036b1be85382b5038d06,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_1/results/pathmnist/herding/ratio_0.05/selection_seed_1/train_seed_1/aug_0/final.pt,93569dd0eb61b13a3e9d0786403cad55313e4867a26454cec00ab4a12dc23476,clean,0,7180,9,0.8979108635097494,0.8460562349957195,0.41092636579572445,0.44548050888456386,0.16719804652698048,0.051616753006878006,0.04526462395543175,5744,0.03719047747982303,430,0.9559043348281017,1.0,0.6194690265486725,1.0,0.9632850241545894,0.8040540540540541,0.941970310391363,0.41092636579572445,0.9188969991889699
pathmnist,random,0.05,1,1,0,4491,1,499,0fa52621cbd15f58209137ed0704a6c33288d92a43df12c84beca3088a729e4a,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_1/results/pathmnist/random/ratio_0.05/selection_seed_1/train_seed_1/aug_0/final.pt,2562a682b6d7500f09fa30a0dcc4f7cbb8045dff59bc70688fb38760df81d94a,clean,0,7180,9,0.8777158774373259,0.8550928008303886,0.4251781472684085,0.4406685535568713,0.18838277038459667,0.05375426885643378,0.04735376044568245,5744,0.02608287757464733,407,0.7922272047832586,1.0,0.9646017699115044,0.9905362776025236,0.978743961352657,0.6790540540540541,0.9230769230769231,0.4251781472684085,0.9424168694241687
