dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7
bloodmnist,el2n_top,0.02,0,0,0,232,1,29,8c18ad925cb264ea264f209211dd88ff83533f12a283c634142b52e447a55326,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_0/results/bloodmnist/el2n_top/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,5b6f2d5477f203c5df12acc1d3a137aff2047075a5d0833eb74aaf8f1a20a917,clean,0,3421,8,0.5966091786027478,0.6129262087719343,0.19689119170984457,2.0469017526436657,0.6692183933447411,0.290984502498325,0.34344172451589333,2737,0.2021139223072671,885,0.7377049180327869,0.9823717948717948,0.8327974276527331,0.19689119170984457,0.6213991769547325,0.29577464788732394,0.3003003003003003,0.9361702127659575
bloodmnist,eva,0.02,0,0,0,232,1,29,ba88257c0c6bb5f92734a0fc705c6d98799cc7518581245d6b69b3320c2bee1f,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_0/results/bloodmnist/eva/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,fb08d2baaf56b67473af7b110b3b02c14b2acd95ec74e25629ea174c82a7aaef,clean,0,3421,8,0.7810581701256942,0.7582656958388423,0.4283246977547496,1.812079324221449,0.36577333272098655,0.15182163487293332,0.1318962367555718,2737,0.07157569126496047,478,0.6434426229508197,0.9871794871794872,0.8263665594855305,0.4283246977547496,0.5020576131687243,0.8415492957746479,0.8648648648648649,0.9723404255319149
bloodmnist,facility,0.02,0,0,0,232,1,29,56e77dd0c9877bde49e1514c00c9fc282a4246e7ad6efdd5a80228954f4d62d6,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_0/results/bloodmnist/facility/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,5a3d523bbff52c19030e71e9fd1dce268708cb29fced374c8a726809e9bc8be5,clean,0,3421,8,0.7927506577024261,0.7952786519426609,0.48013816925734026,1.2745009194087515,0.33527498927205346,0.13661339991415355,0.11326269638290098,2737,0.0763619054199222,399,0.75,0.7916666666666666,0.842443729903537,0.48013816925734026,0.8024691358024691,0.7887323943661971,0.9174174174174174,0.9893617021276596
bloodmnist,forgetting,0.02,0,0,0,232,1,29,932a3b3542b8ed3452693a882f8b367b4afba2a7ca11942b0d21a268646953cd,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_0/results/bloodmnist/forgetting/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,4beb590aa08a5c925729b8b07ec88fd808cb2dc05dffe7ebb781594069312700,clean,0,3421,8,0.6395790704472376,0.6341412548744136,0.16753022452504318,2.366448390151476,0.610542561266897,0.2712338408795548,0.2795031055900621,2737,0.1714183387879244,808,0.7540983606557377,0.7019230769230769,0.29260450160771706,0.16753022452504318,0.7407407407407407,0.5633802816901409,0.8528528528528528,1.0
bloodmnist,fps,0.02,0,0,0,232,1,29,d2b8fc83e998b8c56c347472d647bf13a3e1ec6b819b26468b86e6a22286a9da,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_0/results/bloodmnist/fps/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,cd645e2e61c49c285672303aa7a3004c73d13f3bd905df9f178b3d6bfdaf4e7d,clean,0,3421,8,0.7258111663256358,0.7431910179553047,0.21243523316062177,1.5735986654792913,0.4575581153206507,0.19091332219247056,0.19546949214468395,2737,0.14668171427554572,593,0.7254098360655737,0.7580128205128205,0.819935691318328,0.21243523316062177,0.8683127572016461,0.6971830985915493,0.8663663663663663,0.997872340425532
bloodmnist,graph_a2,0.02,0,0,0,232,1,29,cceb572a04d00c04ed3fbd4e19c7e26d4cd6a7fd3b9100ef3cfbff0dc0f3af8b,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_0/results/bloodmnist/graph_a2/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,840bd700c84974ef5ef967082827725b2a68d840d5bcef58da1b4775138ebf85,clean,0,3421,8,0.8705057000876937,0.8634273879933865,0.6493955094991365,0.5795917622017409,0.2086264251251989,0.07270810410524102,0.058823529411764705,2737,0.03592988623177927,261,0.7991803278688525,0.9487179487179487,0.842443729903537,0.6493955094991365,0.897119341563786,0.8345070422535211,0.9594594594594594,0.9765957446808511
bloodmnist,herding,0.02,0,0,0,232,1,29,5d0674feb3b744141e53150fb2a7afea278a296b22b88244ed98081b2f209105,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_0/results/bloodmnist/herding/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,e29a9ac86b30152486c3a3ecf527aab11d6b184e65280b3447de86802f3d6b26,clean,0,3421,8,0.8520900321543409,0.8385899036631834,0.6528497409326425,0.9809833822589603,0.24167446689991345,0.09463279364367597,0.0763609791742784,2737,0.04774653122976587,318,0.7827868852459017,0.9743589743589743,0.8167202572347267,0.6528497409326425,0.8600823045267489,0.7640845070422535,0.9429429429429429,0.9148936170212766
bloodmnist,random,0.02,0,0,0,232,1,29,ec3a1ea1fe1ba67c600bbb164d655e4c47546cd69c0672e9e329b2b1b142d188,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_0/results/bloodmnist/random/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,5e31a05bf510304c4c630a044a9979fa25be17a71295d7393409a66f54b2b0b8,clean,0,3421,8,0.7980122771119555,0.8007731956204394,0.5664939550949913,1.8947280170916716,0.3391749736472075,0.13406202434029924,0.12093533065400074,2737,0.09198802611601392,420,0.7172131147540983,0.8157051282051282,0.8617363344051447,0.5664939550949913,0.8724279835390947,0.7323943661971831,0.8423423423423423,0.997872340425532
