organsmnist 0 12G
organamnist 0 16G
pathmnist 0 32G
tissuemnist 0 48G
bloodmnist 0 12G
organsmnist 2 12G
organamnist 2 16G
pathmnist 2 32G
tissuemnist 2 48G
bloodmnist 2 12G
organsmnist 4 12G
organamnist 4 16G
pathmnist 4 32G
tissuemnist 4 48G
bloodmnist 4 12G
organsmnist 6 12G
organamnist 6 16G
pathmnist 6 32G
tissuemnist 6 48G
bloodmnist 6 12G
