dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8,recall_9,recall_10
organamnist,el2n_top,0.05,4,4,0,1727,1,157,075815af662b21f125042275665b223eae5f958d0c8e4ae928d42445aa1b00d5,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_4/results/organamnist/el2n_top/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,c50a87d43954b299598fdf6bcc0e110f25a7a690e037aec2393822232a5fc023,clean,0,17778,11,0.8117898526268421,0.8262896447048456,0.4617248062015504,0.6076386982103652,0.2749421904991667,0.06935489827879962,0.09787652932077064,14222,0.050188488901912146,1164,0.9198841698841699,0.9362244897959183,0.9281210592686002,0.8292993630573249,0.4617248062015504,0.5374045801526718,0.9567732115677321,1.0,0.9994484280198566,0.8292231812577066,0.6910828025477707
organamnist,eva,0.05,4,4,0,1727,1,157,691300b07cb0f3e2b064a6d3a2689bceb020e523c2cb09cdc9fc2dbd0fcfecb1,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_4/results/organamnist/eva/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,7c415d0bdd8a4941c356c243d52e98db7f365423b28ff27e58ec113db78f5c4b,clean,0,17778,11,0.7986837664529194,0.8171219280094048,0.30959302325581395,0.6667209793549593,0.2953802953124777,0.09134542539385523,0.10230628603571931,14222,0.04911664075791953,1344,0.8281853281853282,0.9591836734693877,0.9066834804539723,0.845859872611465,0.30959302325581395,0.5852417302798982,0.906544901065449,1.0,1.0,0.8551171393341553,0.7919320594479831
organamnist,facility,0.05,4,4,0,1727,1,157,79855f77d34e0556f22922b6ed446b008680b0d7f1083bc4e1ab2b57a1fcd9d9,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_4/results/organamnist/facility/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,ad5644edfeb97754b6e471866175951324330fffb2b2307a904e39c84c0717b4,clean,0,17778,11,0.92057599280009,0.920174646088632,0.7693798449612403,0.25684162286452966,0.11977205249099673,0.023734089672324113,0.014976796512445507,14222,0.010682093843348728,550,0.9594594594594594,0.951530612244898,0.9382093316519546,0.8687898089171975,0.7693798449612403,0.8284987277353689,0.9863013698630136,0.9988551803091014,0.9933811362382791,0.9352651048088779,0.8922505307855626
organamnist,forgetting,0.05,4,4,0,1727,1,157,1d823c3a2ff3713a911447d6a81f696acb38b81fdf96e2f03b6ba76d038d7a75,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_4/results/organamnist/forgetting/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,10d30bfa8cfd348525536d0902a7b96b27a6b3e37aacd5cc9afee31ef698ad57,clean,0,17778,11,0.8274271571605355,0.8396175720251285,0.4568798449612403,0.5833549243301939,0.25845345312680534,0.07739255023205131,0.07994656166502602,14222,0.037915995997260386,1209,0.9092664092664092,0.9209183673469388,0.9621689785624212,0.8407643312101911,0.4568798449612403,0.49363867684478374,0.9926940639269406,0.9977103606182026,0.9950358521787093,0.9087546239210851,0.7579617834394905
organamnist,fps,0.05,4,4,0,1727,1,157,64cc228bb682bf9280b5041e9799cc402ed1056c01bef739ee1c30469452eb8a,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_4/results/organamnist/fps/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,c43b59954c7b18b42f000c9cfd11aa57617c1126efcc494ec2b748926e973186,clean,0,17778,11,0.9121948475644055,0.9084157030943095,0.7635658914728682,0.2775369238507953,0.12838729707826615,0.015244214605367769,0.0180002812543946,14222,0.012674148319394136,462,0.943050193050193,0.9400510204081632,0.9470365699873896,0.8152866242038217,0.7635658914728682,0.8137404580152672,0.9902587519025875,1.0,0.9955874241588527,0.87422934648582,0.9097664543524416
organamnist,graph_a2,0.05,4,4,0,1727,1,157,0107e9b9279bf18cd3a4b33abd7dce94207b750a9c9c55ecd98001942a6c753d,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_4/results/organamnist/graph_a2/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,b70e07d68c3efe80cba746ce43b440aa9a3963fff8c6fe033032589b67d30df0,clean,0,17778,11,0.9217009787377658,0.9213547420752136,0.7853682170542635,0.246384042707436,0.11583745395364403,0.027909783631586704,0.01413303332864576,14222,0.01063150376255057,568,0.944015444015444,0.9489795918367347,0.9773013871374527,0.8598726114649682,0.7853682170542635,0.8315521628498728,0.9923896499238964,0.979965655409273,0.9862107004964148,0.9438964241676943,0.8853503184713376
organamnist,herding,0.05,4,4,0,1727,1,157,d3e2427929aa04d6b6d2c6bd236504dcccebbaea477be26cb8aebd1a0f9fe747,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_4/results/organamnist/herding/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,3896de27854df3a42294b04dc19bd289205345d98177789ea1b6b9f268803253,clean,0,17778,11,0.9121948475644055,0.912666235569787,0.7238372093023255,0.26942336466160816,0.12669787020199194,0.03056843960522558,0.014343974124595697,14222,0.011602432426202737,568,0.9102316602316602,0.9502551020408163,0.978562421185372,0.8522292993630574,0.7238372093023255,0.833587786259542,0.9841704718417047,0.9811104751001717,0.9950358521787093,0.9438964241676943,0.886411889596603
organamnist,random,0.05,4,4,0,1727,1,157,a0eae1c7cd5d7fa76f223006031448d92b5b220df7070426d4bc8bfccffb5020,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_4/results/organamnist/random/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,69edb5180559f4686e0132a3ba04f8805629e41e4ba0518bb200f55f25513668,clean,0,17778,11,0.9140510743615705,0.9146478633678765,0.7049418604651163,0.271541660626231,0.12810995828532712,0.025963316453309217,0.01673463647869498,14222,0.010982818726280591,546,0.946911196911197,0.9413265306122449,0.9773013871374527,0.8420382165605096,0.7049418604651163,0.8346055979643766,0.9881278538812786,0.9805380652547224,0.9911748483177054,0.9512946979038225,0.9028662420382165
