dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7
tissuemnist,el2n_top,0.05,3,3,0,8272,1,1034,4f4ece54d71da01b466c4319f02cab08b1457d866f9c62feb552ef4e93f37e46,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/tissuemnist/seed_3/results/tissuemnist/el2n_top/ratio_0.05/selection_seed_3/train_seed_3/aug_0/final.pt,9df96203352f25f8a5548a49b9ba0f8589014105374e133476684c466b919d3b,clean,0,47280,8,0.12053722504230119,0.17017643983552977,0.06624408534952236,2.9565880937841826,1.16124391294422,0.4225756437263992,0.879758883248731,37824,0.8806097677144822,7848,0.08935047807451368,0.3497536945812808,0.26774001192605845,0.12017264879600181,0.09973285841495994,0.22434150772025432,0.06624408534952236,0.144076233821647
tissuemnist,eva,0.05,3,3,0,8272,1,1034,e3c666dbfef3ddc1d56cd710b0cc75b9f82eb6f88acbf3961919fe8560017816,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/tissuemnist/seed_3/results/tissuemnist/eva/ratio_0.05/selection_seed_3/train_seed_3/aug_0/final.pt,6a76abc29650801ae4d7e8d9e34f27826f300c98edc9933e61d86a9eb6a5b492,clean,0,47280,8,0.3802664974619289,0.42405623556692784,0.3109792284866469,2.2108495369630794,0.9045525758879592,0.3298213343462212,0.5859507191201354,37824,0.49866861288282077,10179,0.3109792284866469,0.44200626959247646,0.6589147286821705,0.40504316219900044,0.42920747996438113,0.36966394187102636,0.3998750111597179,0.37676006258000283
tissuemnist,facility,0.05,3,3,0,8272,1,1034,0c1847888377203b0a6f2cb5b91a6295d3464e4058f7de3e26ed6a6fb8d32697,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/tissuemnist/seed_3/results/tissuemnist/facility/ratio_0.05/selection_seed_3/train_seed_3/aug_0/final.pt,e049b2d5aa2dd32b497f610c6cb9388fc11f497c8df193a278a79165c41eadf5,clean,0,47280,8,0.4727157360406091,0.44665935111356625,0.3233318405732199,1.6300498079874395,0.7194781325098238,0.16838316190578106,0.48136104060913704,37824,0.3696037628298436,5033,0.48374546653478406,0.3233318405732199,0.4853905784138342,0.4736483416628805,0.39240130602552686,0.4137148047229791,0.5087938576912776,0.49224861328402786
tissuemnist,forgetting,0.05,3,3,0,8272,1,1034,ce6bb71d00768a8876617dca17239289a7326bfaf4d1d0463db855fb77585fe3,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/tissuemnist/seed_3/results/tissuemnist/forgetting/ratio_0.05/selection_seed_3/train_seed_3/aug_0/final.pt,369cfd3d9737873d2f305a173e150c3595eb5e7b32ba4cf6b7736c61224c39d8,clean,0,47280,8,0.3551395939086294,0.41653265239315423,0.28394329047148037,2.460894611497491,0.9732930171163047,0.3792709054151162,0.6199767343485617,37824,0.569823850478827,13050,0.28394329047148037,0.4832064487236901,0.6887298747763864,0.4363925488414357,0.37815375482338975,0.37920072661217075,0.3408624229979466,0.34177215189873417
tissuemnist,fps,0.05,3,3,0,8272,1,1034,12b70d95c436446a8c1a050026a5ba19479dfed2d0db9d8fc4ce3a622605e77f,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/tissuemnist/seed_3/results/tissuemnist/fps/ratio_0.05/selection_seed_3/train_seed_3/aug_0/final.pt,25c5e1b699fca2332fbba6e2dd471789d6fb701ecaab7b524676eb9aa8192842,clean,0,47280,8,0.3682952622673435,0.37491257335281913,0.334791536469958,1.9187959220357804,0.8475757090956124,0.23613656682014317,0.6017343485617598,37824,0.5324502215161133,5651,0.36096274315858884,0.36094939543215404,0.4358974358974359,0.3421172194457065,0.3606411398040962,0.3564940962761126,0.334791536469958,0.4474470203385009
tissuemnist,graph_a2,0.05,3,3,0,8272,1,1034,c6c7ff1d99cdd179a3509786a3fd871f61a5c533a4136883eb13af3fd659c1b2,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/tissuemnist/seed_3/results/tissuemnist/graph_a2/ratio_0.05/selection_seed_3/train_seed_3/aug_0/final.pt,3b0387c584276ed67ac0de7554e62d135dfabd453ae3fb6f9717339d692f5176,clean,0,47280,8,0.45617597292724194,0.44989918095984455,0.3734885803851321,1.754076512815828,0.7618867795167107,0.2171080677494306,0.49925972927241963,37824,0.4011347631432968,6819,0.4196505110451698,0.3734885803851321,0.5211687537268933,0.5109041344843253,0.38023152270703475,0.40417801998183467,0.5079903580037497,0.4815815673446167
tissuemnist,herding,0.05,3,3,0,8272,1,1034,2178705cd258058577e4c464a0eb5acabe0f962383e8d012480025b34c783961,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/tissuemnist/seed_3/results/tissuemnist/herding/ratio_0.05/selection_seed_3/train_seed_3/aug_0/final.pt,2a128bf92ef97f300b7de25cef73cd769dd35a8ad6c7e782215443288b71162b,clean,0,47280,8,0.45947546531302874,0.44720166194259064,0.3761755485893417,1.661770202534865,0.740187993407077,0.18436754050675636,0.49688028764805414,37824,0.39872643185095796,5567,0.44358720738542695,0.3761755485893417,0.45199761478831246,0.5015901862789641,0.45087563075096465,0.3982742960944596,0.49870547272564947,0.4564073389276063
tissuemnist,random,0.05,3,3,0,8272,1,1034,62b368431d9fe1b6149c40ef8f0a94cb42f703ca336eeb7d2ccf856fda1cf310,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/tissuemnist/seed_3/results/tissuemnist/random/ratio_0.05/selection_seed_3/train_seed_3/aug_0/final.pt,ccc5875bb23a0047fe34d1f2d464d3569448336922a014fa2a9658dc54dd493a,clean,0,47280,8,0.45687394247038915,0.4452913909883285,0.37707120465741156,1.7122118643690811,0.752689619317814,0.2007844956702034,0.49973561759729274,37824,0.3976231808659131,6199,0.4404879657105176,0.37707120465741156,0.4329159212880143,0.497955474784189,0.44761056693380824,0.41189827429609444,0.48817069904472815,0.4662210211918646
