dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7
tissuemnist,el2n_top,0.02,5,5,0,3304,1,413,263f3fa4972b9e52ec4e5f34a71ae42e512873d7d311049d37ff2e6248fa6bbf,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_5/results/tissuemnist/el2n_top/ratio_0.02/selection_seed_5/train_seed_5/aug_0/final.pt,059e563d82a7213f780b02cd0c0daf84839d01b2e4749a02c505ae0e062732f5,clean,0,47280,8,0.0904399323181049,0.1327442185603663,0.05519287833827893,2.963068786814011,1.1598136237076286,0.41554244338091967,0.9085501269035533,37824,0.9063088530231638,5798,0.05519287833827893,0.2619793999104344,0.2516398330351819,0.05679236710586097,0.058474324725437815,0.22161671207992734,0.09552718507276137,0.06073104821504765
tissuemnist,eva,0.02,5,5,0,3304,1,413,c83ece48392dd5da26e2d587ba8adca4b14ee34a01b27af28d51fc24d8ee1a9a,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_5/results/tissuemnist/eva/ratio_0.02/selection_seed_5/train_seed_5/aug_0/final.pt,19bc7e9e036f0a5aa7fef196edc917b97c961a28606b8444ef3c7e1ae130ecc3,clean,0,47280,8,0.35841793570219965,0.39634774800378003,0.20283547642598088,2.2013928605013064,0.911871541589969,0.3186376511748067,0.6075243231810491,37824,0.511247649485067,9042,0.20283547642598088,0.4155844155844156,0.627906976744186,0.4461608359836438,0.2989017512615019,0.3224341507720254,0.5234354075528971,0.33352296970558953
tissuemnist,facility,0.02,5,5,0,3304,1,413,6f3fd8ce2e64b851e7a5329d7dfa3affb3525422bd4741e17d0e4c4b8c78d67f,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_5/results/tissuemnist/facility/ratio_0.02/selection_seed_5/train_seed_5/aug_0/final.pt,a7b78be89d4e61079a9b25aa4578b5292170223b59e5f834dcda4712d1424d19,clean,0,47280,8,0.4711928934010152,0.4683121567105853,0.3977441377263283,1.5746690926587505,0.7127726173581251,0.16642210815864572,0.4784263959390863,37824,0.3705833400732876,4690,0.43844378503132214,0.48365427675772504,0.5026833631484794,0.49454793275783737,0.3977441377263283,0.42188919164396005,0.5218284081778413,0.48570615844118903
tissuemnist,forgetting,0.02,5,5,0,3304,1,413,e8b8ec747cf7eef7ef2477a2bbe6a164f8985b140af43e7ec3bd5a65a9398089,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_5/results/tissuemnist/forgetting/ratio_0.02/selection_seed_5/train_seed_5/aug_0/final.pt,5aec53323aeb2941b90bbfb41d8f20a685452cef40f672f97dad36d3ae75ca8c,clean,0,47280,8,0.3899957698815567,0.4075005636701916,0.31233110510595935,2.2414787763974724,0.9115804898553501,0.33714817349630366,0.5804780033840947,37824,0.5325850410707882,11722,0.424991757335971,0.40528437080161217,0.6422182468694096,0.41094956837801,0.3469872365687148,0.35513169845594916,0.36211052584590664,0.31233110510595935
tissuemnist,fps,0.02,5,5,0,3304,1,413,6c33015ee9daccdc2da18f601374a37084907eaa5eb04715de581e448af69ba3,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_5/results/tissuemnist/fps/ratio_0.02/selection_seed_5/train_seed_5/aug_0/final.pt,f6a80d043666784af4c66fa6999efad2ef8cf45609626ec4c7000af990b23d9f,clean,0,47280,8,0.2762901861252115,0.2837763707501995,0.20184030869694272,2.0443282817727484,0.9026056871577721,0.22324601935692345,0.7059538917089678,37824,0.6689623597613289,2899,0.27510715463237717,0.30407523510971785,0.4084675014907573,0.3307587460245343,0.20184030869694272,0.20345140781108084,0.2639050084813856,0.28260560375480015
tissuemnist,graph_a2,0.02,5,5,0,3304,1,413,f601b1f82110e2acb9967219f409b63eb12a642498352e7374e625e004799e4c,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_5/results/tissuemnist/graph_a2/ratio_0.02/selection_seed_5/train_seed_5/aug_0/final.pt,fa557c79cb05d7fea7cf6660f0d01439502fdf3cf479b373ceef600e13450cc4,clean,0,47280,8,0.43238155668358713,0.42755535800448974,0.27838328792007266,1.7224699735796787,0.7672111458810791,0.19107161525687338,0.5257508460236887,37824,0.4291893088317868,5239,0.394197164523574,0.3824451410658307,0.5289206917113893,0.532258064516129,0.3659839715048976,0.27838328792007266,0.4647799303633604,0.4734746124306642
tissuemnist,herding,0.02,5,5,0,3304,1,413,82163b54e5a1de4755961e035634d65bd5c2c8b3ea5c991ff4513ef336c05f4c,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_5/results/tissuemnist/herding/ratio_0.02/selection_seed_5/train_seed_5/aug_0/final.pt,b88b26f0456b75d90704cdc82a352856181d9b08b10fe9a675faa2f3a51e7597,clean,0,47280,8,0.46008883248730964,0.43551960601169754,0.36542767577250335,1.6057619392927263,0.7258407111993433,0.15882549089790904,0.4967480964467005,37824,0.3970489759369401,4593,0.46772172766238046,0.36542767577250335,0.43351222420989866,0.5190822353475693,0.3737013950727219,0.3760217983651226,0.497544862065887,0.4511449295974968
tissuemnist,random,0.02,5,5,0,3304,1,413,8e0f02bdc792d92c01c5ffa6544faad944702b6501605e518dbde0e47bdef284,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_5/results/tissuemnist/random/ratio_0.02/selection_seed_5/train_seed_5/aug_0/final.pt,13627028d48b3abe14e45ca38f74a6e353f9140299e074288104032ccf5d12b5,clean,0,47280,8,0.453087986463621,0.4413695504633358,0.3446126447016919,1.6620863534544688,0.7433405155975864,0.18953731950032074,0.5017978003384095,37824,0.39621459182589297,5248,0.41747444774151005,0.3649798477384684,0.4949314251639833,0.5236256247160381,0.3446126447016919,0.3982742960944596,0.5187036871707883,0.46835443037974683
