dataset,method,ratio,selection_seed,training_seed,clean_ba,mean_corruption_ba,ba_drop,clean_worst_recall,mean_corruption_worst_recall,n_corruption_rows
pathmnist,graph_a2,0.02,42,42,0.8176409745761437,0.5414224712390563,0.2762185033370874,0.332541567695962,0.1375694077053164,55
pathmnist,graph_a2,0.02,42,43,0.8042635606735042,0.5259439559872788,0.27831960468622546,0.32304038004750596,0.15608779217954608,55
pathmnist,graph_a2,0.02,43,42,0.7967289678339199,0.5316965122865175,0.26503245554740246,0.3864306784660767,0.16300915809725292,55
pathmnist,graph_a2,0.02,43,43,0.8039957326823396,0.5513613906958809,0.25263434198645857,0.334916864608076,0.1565220074962359,55
pathmnist,graph_a2,0.05,42,42,0.8792377579009398,0.6183908542712409,0.26084690362969915,0.40380047505938244,0.21371570140898025,55
pathmnist,graph_a2,0.05,42,43,0.8641444070978302,0.6157355950073202,0.24840881209050977,0.45368171021377673,0.2437228157456022,55
pathmnist,graph_a2,0.05,43,42,0.8741514570905644,0.6073574051004147,0.2667940519901498,0.49643705463182897,0.22268730809944645,55
pathmnist,graph_a2,0.05,43,43,0.8708734529018489,0.6309442620064228,0.23992919089542616,0.41330166270783847,0.20215522495305843,55
pathmnist,random,0.02,42,42,0.7819468073401546,0.5019110318067145,0.2800357755334402,0.4418052256532066,0.1566915996837324,55
pathmnist,random,0.02,42,43,0.8060891465273864,0.511657989334126,0.2944311571932607,0.4085510688836104,0.18990746551416243,55
pathmnist,random,0.02,43,42,0.8334586408960736,0.5576786893101027,0.27577995158597085,0.4251781472684085,0.20735678278674147,55
pathmnist,random,0.02,43,43,0.8412355197340906,0.5615375050315352,0.2796980147025555,0.35391923990498814,0.1686595256558225,55
pathmnist,random,0.05,42,42,0.8714295961488143,0.6205195095410382,0.2509100866077761,0.39429928741092635,0.2180475005494436,55
pathmnist,random,0.05,42,43,0.8821838254845408,0.6179594687692194,0.26422435671532135,0.4418052256532066,0.2073619252332661,55
pathmnist,random,0.05,43,42,0.8548899577682134,0.5817097914701264,0.2731801662980871,0.47030878859857483,0.21808372009521565,55
pathmnist,random,0.05,43,43,0.8768055603577839,0.5919382058861584,0.2848673544716256,0.43942992874109266,0.23312653021377291,55
