dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8
pathmnist,el2n_top,0.02,0,0,0,1791,1,199,99f71963370d5160e8e64bad266b2f7f0e708e7a490696956bdb03a678aa8f5b,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/pathmnist/seed_0/results/pathmnist/el2n_top/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,eeb809876f07e1b428efcb803117652c4468299b5bb2b17e36e49a5e23f6719d,clean,0,7180,9,0.37604456824512533,0.3510482365375591,0.0,3.536265936016041,1.0641330154775388,0.4748247415159407,0.6023676880222841,5744,0.5761158179689014,2961,0.9043348281016442,0.0,0.20353982300884957,0.6482649842271293,0.044444444444444446,0.34121621621621623,0.18218623481781376,0.49643705463182897,0.33901054339010545
pathmnist,eva,0.02,0,0,0,1791,1,199,906ae6f774ffe587071b1ecc18d11f72c0ca26903a80265bccf47c9af1bd08f2,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/pathmnist/seed_0/results/pathmnist/eva/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,4edf5afa18f10f2afdba108c7e115cf2fd7ad4134346b34da8165f490cc86d3f,clean,0,7180,9,0.5469359331476323,0.5247720490530621,0.15676959619952494,2.317389071116101,0.7671771550997044,0.33657438105029314,0.3936281337047354,5744,0.31026548426383066,2154,0.70254110612855,0.5726092089728453,0.23303834808259588,0.998422712933754,0.3391304347826087,0.6266891891891891,0.7044534412955465,0.15676959619952494,0.38929440389294406
pathmnist,facility,0.02,0,0,0,1791,1,199,52897bbfc76652c7404715f850fa8b66027871189e0f5f98f176c9cbda23d154,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/pathmnist/seed_0/results/pathmnist/facility/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,bcf96ae2d517763944784c67f7618666475d08b01602bc3b8e1eb8463c97ec86,clean,0,7180,9,0.8587743732590529,0.8135521189208241,0.3586698337292161,0.5354590919187281,0.22077173629343014,0.06995821065557364,0.06197771587743733,5744,0.031255249811411215,514,0.9035874439461884,1.0,0.8082595870206489,0.9716088328075709,0.9420289855072463,0.6148648648648649,0.8016194331983806,0.3586698337292161,0.9213300892133008
pathmnist,forgetting,0.02,0,0,0,1791,1,199,0621a7fb434a93a8d56bf2108b3818a8e037718beb82ac47ba4b6d12f6ed62b8,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/pathmnist/seed_0/results/pathmnist/forgetting/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,5339123f26f3f4d8d33fc874b1e2cc9235f76815457429824cb79f16941beb77,clean,0,7180,9,0.4664345403899721,0.4870943680365864,0.16765053128689492,3.1486840854709075,0.9025657902860329,0.403446580988451,0.4946030640668524,5744,0.3657466995487013,2541,0.7825112107623319,0.16765053128689492,0.775811209439528,1.0,0.2492753623188406,0.30405405405405406,0.581646423751687,0.3087885985748218,0.2141119221411192
pathmnist,fps,0.02,0,0,0,1791,1,199,c2ab3c135d6c551afc8f1ef13d291dc1f5dd3298d17338fe1adfe4d73b655e50,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/pathmnist/seed_0/results/pathmnist/fps/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,51062bff8e1910b084dc9686454505196f9d1b420f6d1ef1714df1e2fb569014,clean,0,7180,9,0.768941504178273,0.7245981875068116,0.30403800475059384,0.7636591710323021,0.34237178943591573,0.09035872930147187,0.15215877437325906,5744,0.07375524995287196,602,0.8736920777279522,1.0,0.6755162241887905,0.998422712933754,0.8347826086956521,0.4577702702702703,0.6464237516869096,0.30403800475059384,0.7307380373073804
pathmnist,graph_a2,0.02,0,0,0,1791,1,199,8a83a8e17ed9f53dd0abfd759f629df59f5968aef3acd8fc85c5e7654e2426c4,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/pathmnist/seed_0/results/pathmnist/graph_a2/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,da5b71a69f85cdc8ca214e8dc8b2def4c31d7f5cc9b962b2c8e301aa7d633fcc,clean,0,7180,9,0.8611420612813371,0.8321215775331985,0.4251781472684085,0.506589102387117,0.21078085960288268,0.05807514021323583,0.05692896935933148,5744,0.032444414535030615,424,0.7713004484304933,1.0,0.7964601769911505,0.9889589905362776,0.9439613526570049,0.7331081081081081,0.893387314439946,0.4251781472684085,0.9367396593673966
pathmnist,herding,0.02,0,0,0,1791,1,199,57d52292a5a72ca250294ea2dd70d576c2b6610e13285572ea2b01a2a364a9d8,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/pathmnist/seed_0/results/pathmnist/herding/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,f1023cd020adf3f799c432ef907b796ee34850b2ecb686d74713739bd0dec572,clean,0,7180,9,0.8912256267409471,0.8593660151044967,0.38954869358669836,0.6884638906313213,0.17174663735825207,0.05360275438486037,0.04648328690807799,5744,0.07427555689306245,415,0.9798206278026906,1.0,0.8938053097345132,0.9952681388012619,0.8705314009661835,0.793918918918919,0.9379217273954116,0.38954869358669836,0.8734793187347932
pathmnist,random,0.02,0,0,0,1791,1,199,f5bd035ab95966af81e9c687fc6d88bc1624a72af6cdd4a423c6ee9e723ed422,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/pathmnist/seed_0/results/pathmnist/random/ratio_0.02/selection_seed_0/train_seed_0/aug_0/final.pt,37d9cbbc54b0c61edb4836519d32b6fc64c8ea4646f650797cdd8fd29aa54995,clean,0,7180,9,0.8550139275766017,0.7957250427422833,0.3182897862232779,0.5724798353274599,0.22852943689457494,0.07100834357539255,0.06720055710306407,5744,0.036215275837940715,538,0.9573991031390134,1.0,0.5899705014749262,0.9684542586750788,0.8560386473429952,0.6925675675675675,0.8663967611336032,0.3182897862232779,0.9124087591240876
