dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8,recall_9,recall_10
organsmnist,el2n_top,0.02,6,6,0,275,1,25,816ca4d3d33cd6ae4ebf90f8e9706181d6a18e9614c9e0a57731ef5c0a0628d1,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_6/results/organsmnist/el2n_top/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,6df322290a8af8ff2e5e239a93457deeae7f1a5f6bfc76f42c2f56f4aa255fd0,clean,0,8827,11,0.4140704656168574,0.3979150064532529,0.16455696202531644,2.9714426462783976,0.9328529808232522,0.3882272800955454,0.5448881336731805,7062,0.48461119283683096,2644,0.4315659679408138,0.5284738041002278,0.27415730337078653,0.5588235294117647,0.3224431818181818,0.21356421356421357,0.7122232916265641,0.28967254408060455,0.715261958997722,0.16455696202531644,0.16632231404958678
organsmnist,eva,0.02,6,6,0,275,1,25,b09f7947b74116ecd71ede95954ae65043ae5dc52547db2ed39a6ade926b0668,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_6/results/organsmnist/eva/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,47bbd6f38af6b2e0e3a5721a637293798cdf04a267a0b649daab8e8c6f3d539b,clean,0,8827,11,0.5202220459952419,0.49593248966391595,0.21891288160833955,2.3340381441666453,0.7509558469405196,0.3021840884094804,0.4243840271877655,7062,0.29998021413541276,2092,0.9099876695437731,0.32574031890660593,0.2808988764044944,0.7666666666666667,0.3025568181818182,0.4069264069264069,0.7868142444658325,0.7858942065491183,0.35990888382687924,0.21891288160833955,0.3109504132231405
organsmnist,facility,0.02,6,6,0,275,1,25,03cc0c45cad7eb7fef040ceef47a50c0472fbea7e36a3ed903b404b76e780144,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_6/results/organsmnist/facility/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,9ab916dec4dc7c3cab7463b4ccf6eb07df66ea59e1f2438499dee2884ff572c7,clean,0,8827,11,0.6357765945394811,0.6176172121243152,0.35064935064935066,1.5091483383945017,0.5676802266647263,0.21285348637695287,0.29495893514585103,7062,0.19366910919267305,1582,0.9272503082614056,0.48519362186788156,0.42247191011235957,0.6980392156862745,0.43607954545454547,0.35064935064935066,0.8421559191530318,0.8287153652392947,0.7972665148063781,0.4005956813104989,0.6053719008264463
organsmnist,forgetting,0.02,6,6,0,275,1,25,6817f881fba23fea910fe66fe58a4699c1eba4fd24f0ce945b86ac9e54e595b0,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_6/results/organsmnist/forgetting/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,092ffb4678cb50dfe6438c7ea82c51ae1225b7b30deb6ededdf6e3419ea12f84,clean,0,8827,11,0.48929421094369546,0.49008046955608225,0.2099776619508563,2.6189987381514794,0.8160657703755285,0.34158517568678903,0.46813933729821583,7062,0.34811826161393494,2452,0.8828606658446363,0.22779043280182232,0.34606741573033706,0.7333333333333333,0.2911931818181818,0.31601731601731603,0.6410009624639076,0.6675062972292192,0.6970387243735763,0.2099776619508563,0.378099173553719
organsmnist,fps,0.02,6,6,0,275,1,25,5f4926adecc2136a07a401cbbf8ae416e93a899b999cf45bee1494a89e11fdab,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_6/results/organsmnist/fps/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,48a8594bdf28fca59c179532bf22e01cefb1df594eda21969a2e81fdc5bb4285,clean,0,8827,11,0.6145915939730373,0.5841774687563891,0.3665223665223665,1.520936415912433,0.5933838855115726,0.2217178590079997,0.3195978476352308,7062,0.2142688564381604,1615,0.87422934648582,0.42596810933940776,0.451685393258427,0.48823529411764705,0.5056818181818182,0.3665223665223665,0.8941289701636189,0.8664987405541562,0.7312072892938497,0.4013402829486225,0.42045454545454547
organsmnist,graph_a2,0.02,6,6,0,275,1,25,7edf294dc8b4a5e14a4789da0d77f55fb81186c85a6b0dc08a00ae34e4900aa1,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_6/results/organsmnist/graph_a2/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,b0cd21111dd3f45bc22a01cf0c8581a31099002cddf9f19392859fc06f8000b4,clean,0,8827,11,0.6198028775348363,0.5995037918007411,0.29829545454545453,1.490382444878238,0.5788006506114509,0.21477191301614085,0.3112432738600963,7062,0.19790431855634105,1519,0.8508014796547472,0.55125284738041,0.3865168539325843,0.6882352941176471,0.29829545454545453,0.3924963924963925,0.884985563041386,0.8589420654911839,0.8405466970387244,0.45197319434102756,0.390495867768595
organsmnist,herding,0.02,6,6,0,275,1,25,eeb03be45479d333970d7e5abfc37b1762fac2acb35462043e1307c82a5a490d,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_6/results/organsmnist/herding/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,f5adbbdadfb660e368a11b63adf1fc04a5805e7013f1bd2888db0c6796595140,clean,0,8827,11,0.6571881726520902,0.6300287633917488,0.39204545454545453,1.3346866810520401,0.5176400681280436,0.17882795685737013,0.26465590484282076,7062,0.16208492461151253,1272,0.8890258939580764,0.4419134396355353,0.46292134831460674,0.6882352941176471,0.39204545454545453,0.41414141414141414,0.9032723772858517,0.8337531486146096,0.8838268792710706,0.48399106478034254,0.5371900826446281
organsmnist,random,0.02,6,6,0,275,1,25,6f11bc0ed8bbfc05bd9885ae12973de15c7fe7324af3aae06080e8a476d39d5c,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_6/results/organsmnist/random/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,53850c0c711ecfc7bba37893d2bd45284201c063c869681958d86a3a170d90f2,clean,0,8827,11,0.6298855783391866,0.6038105032121317,0.37073863636363635,1.5678505391359006,0.5798154949916561,0.22061500796324213,0.3016142735768904,7062,0.19092628481348162,1628,0.8076448828606658,0.5261958997722096,0.38202247191011235,0.692156862745098,0.37073863636363635,0.4444444444444444,0.911934552454283,0.818639798488665,0.826879271070615,0.44080416976917347,0.42045454545454547
