dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7
tissuemnist,el2n_top,0.02,4,4,0,3304,1,413,d4ac0bd64b24ecbb7c97aadf97b8853bb3c816b73a293f306326dd0c34d04bd8,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_4/results/tissuemnist/el2n_top/ratio_0.02/selection_seed_4/train_seed_4/aug_0/final.pt,77105ea0fb3ab8cfeec5bdc42c6bda9e7f1b265b6c6b3795c247fe4f970122f7,clean,0,47280,8,0.09898477157360407,0.12990273785598033,0.0678424121746551,2.9666548015817438,1.1695274328670684,0.4270721896682344,0.9031567258883249,37824,0.905324128711863,6974,0.07998681173755358,0.23779668607254814,0.23673225998807393,0.11585642889595639,0.08726625111308994,0.1262488646684832,0.08749218819748236,0.0678424121746551
tissuemnist,eva,0.02,4,4,0,3304,1,413,6828d91bcb050ef18e4b57b410966e7457899fcf776e9386828a604a6b7153e1,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_4/results/tissuemnist/eva/ratio_0.02/selection_seed_4/train_seed_4/aug_0/final.pt,e5ddd6574a7f1fe119e96613cffddc114195f1ae62d2c10030184b2d535ee4fd,clean,0,47280,8,0.37208121827411167,0.39629820838661334,0.24432334241598547,2.1358066870621335,0.8935724333275072,0.3014221057005844,0.5934856175972927,37824,0.5159915918895459,9041,0.2630398944939004,0.3708016121809225,0.6720333929636255,0.4359382099045888,0.3187889581478183,0.24432334241598547,0.4872779216141416,0.37818233537192436
tissuemnist,facility,0.02,4,4,0,3304,1,413,6f3fd8ce2e64b851e7a5329d7dfa3affb3525422bd4741e17d0e4c4b8c78d67f,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_4/results/tissuemnist/facility/ratio_0.02/selection_seed_4/train_seed_4/aug_0/final.pt,ee0819669dfe336e03fe2f30de3761d376d51c6105c978cb17325467a84c4844,clean,0,47280,8,0.4532994923857868,0.44525604734421687,0.3244286138319976,1.6468114170565713,0.7395563089256143,0.17956562536294288,0.5005816412859561,37824,0.39929186020151,5166,0.4246620507748104,0.38961038961038963,0.4919499105545617,0.5358927760109041,0.3244286138319976,0.4159854677565849,0.4896884206767253,0.48983074953776135
tissuemnist,forgetting,0.02,4,4,0,3304,1,413,608c99ef00a7207c4381004dd791582cff5429871e713eb23066fcd32a2d952c,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_4/results/tissuemnist/forgetting/ratio_0.02/selection_seed_4/train_seed_4/aug_0/final.pt,6177692c4035f408e9fcb56d9e16d07b9279b8e897cc546cc6f12da985da57fe,clean,0,47280,8,0.3189932318104907,0.3762323444580885,0.25525881965051106,2.43404543749485,0.9915417677719027,0.36903179142208115,0.6573339678510999,37824,0.6106571995944463,11546,0.25525881965051106,0.4299149126735334,0.7006559332140727,0.3989095865515675,0.27278124072425053,0.3192552225249773,0.2989911615034372,0.33409187882235813
tissuemnist,fps,0.02,4,4,0,3304,1,413,fee8ca020f00ede24e58edf82c4c9ec4fbc389a89a642a57b5afa49aa3aae9bc,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_4/results/tissuemnist/fps/ratio_0.02/selection_seed_4/train_seed_4/aug_0/final.pt,dd19c7cd5cf1f86228c2a918b0eda8aa1cecd5079f0e209284117cd0adc649e2,clean,0,47280,8,0.37210236886632825,0.37390640956573595,0.2902938557435441,1.8810813801404842,0.8395470660543408,0.23613657344340672,0.5964995769881557,37824,0.5286569855022747,5491,0.3731618859215298,0.3367666815942678,0.4776386404293381,0.33462062698773287,0.2902938557435441,0.3469573115349682,0.3159539326845817,0.5158583416299246
tissuemnist,graph_a2,0.02,4,4,0,3304,1,413,f601b1f82110e2acb9967219f409b63eb12a642498352e7374e625e004799e4c,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_4/results/tissuemnist/graph_a2/ratio_0.02/selection_seed_4/train_seed_4/aug_0/final.pt,8b6c66aaa385cd6b79652260fb28c6ddfe01019ad68d443f5223ec4997e31c2d,clean,0,47280,8,0.4438663282571912,0.44497264101643663,0.3510445049954587,1.7869677585048205,0.7778986025286753,0.23297653559708803,0.5133777495769881,37824,0.41704195567417773,6969,0.4025717111770524,0.40080609046126286,0.530113297555158,0.5168105406633349,0.40753932917779756,0.3510445049954587,0.47727881439157216,0.47361683970985635
tissuemnist,herding,0.02,4,4,0,3304,1,413,82163b54e5a1de4755961e035634d65bd5c2c8b3ea5c991ff4513ef336c05f4c,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_4/results/tissuemnist/herding/ratio_0.02/selection_seed_4/train_seed_4/aug_0/final.pt,82a9ca8d247f9bacb0fc21c5c84c939d71c684f017992946b1defe97365fe55e,clean,0,47280,8,0.4069585448392555,0.3675392494845698,0.2111716621253406,1.687171082360798,0.7673839959272146,0.15187461719030354,0.5549651015228426,37824,0.46696374010956165,3177,0.4173425651170458,0.2691446484549933,0.4251639833035182,0.4586551567469332,0.28227960819234194,0.2111716621253406,0.4796000357110972,0.39695633622528803
tissuemnist,random,0.02,4,4,0,3304,1,413,730091dc5a5e7c88266581e680de222242081843111e634e6d1364a80ee18ca2,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/tissuemnist/seed_4/results/tissuemnist/random/ratio_0.02/selection_seed_4/train_seed_4/aug_0/final.pt,b36914407f0e5b6a038306f54859b9e242e53aa1416b3d77b67966c4145db0f7,clean,0,47280,8,0.46774534686971236,0.4549163037415199,0.3708016121809225,1.6010497459917838,0.7220655063965989,0.17467001895506923,0.4843221235194585,37824,0.38001335526536356,5112,0.45393999340586877,0.3708016121809225,0.530113297555158,0.5084052703316674,0.39447907390917186,0.3941871026339691,0.5123649674136238,0.4750391125017778
