dataset,ratio,method,n_seeds,training_seeds,best_balanced_accuracy_mean,best_balanced_accuracy_std,final_balanced_accuracy_mean,final_balanced_accuracy_std,accuracy_mean,accuracy_std,worst_class_recall_mean,worst_class_recall_std,class_cvar20_mean,class_cvar20_std
bloodmnist,0.02,el2n,5,"42,43,44,45,46",0.5112267527469829,0.10179774669262877,0.5021169713312645,0.09875635151785662,0.5103770827243496,0.09359492133651232,0.18192581732558075,0.07042022494394025,0.20668280177098095,0.06711512141963691
bloodmnist,0.02,eva,5,"42,43,44,45,46",0.7406373178310138,0.027388756428813475,0.7395068826107478,0.026512185723546067,0.7743349897690733,0.02798192691313744,0.35655737704918034,0.09209920104198456,0.39673267670236145,0.10163902894273212
bloodmnist,0.02,facility,5,"42,43,44,45,46",0.8358085752364528,0.011046860812357562,0.8333243836344126,0.011813356994251506,0.8323297281496639,0.007953362925573623,0.5440414507772021,0.04186252035765396,0.6248376267970517,0.03211037200284779
bloodmnist,0.02,forgetting,5,"42,43,44,45,46",0.6802686725609091,0.02470430213700808,0.6788609546665696,0.024862566701778,0.7052908506284712,0.029983309238431368,0.24804057505655697,0.023967137135032023,0.29274727551621643,0.018036267181459276
bloodmnist,0.02,fps,5,"42,43,44,45,46",0.7980118134763154,0.015358394732616147,0.7953706539187446,0.01760701779185954,0.791756796258404,0.017847328928229426,0.3436960276338515,0.09989688665163458,0.4951971248767272,0.04491282270679852
bloodmnist,0.02,graph_a2,3,"42,43,44",0.8270603625511174,0.014594594893931332,0.8255757103272543,0.016083770772016785,0.8250024359349118,0.016391217596692882,0.568796776050662,0.01764139717449,0.6507879824223141,0.01985076595063525
bloodmnist,0.02,herding,5,"42,43,44,45,46",0.8345170189239862,0.02210125973408078,0.833693430162584,0.022425306219742723,0.8328558900906168,0.022819455490657316,0.5723661485319517,0.05984898313109096,0.6590703982096378,0.042212815483667177
bloodmnist,0.02,random,5,"42,43,44,45,46",0.831904907068722,0.01316943258174932,0.8304863319885156,0.013697403009195135,0.8350774627301959,0.01658263116145218,0.5654576856649396,0.07491183992889743,0.6410814172956423,0.056662981484143525
bloodmnist,0.05,el2n,5,"42,43,44,45,46",0.7633720465000574,0.01662464127580992,0.7588608856810289,0.01922628643923747,0.7473253434668226,0.012347551992846166,0.2815198618307426,0.04536761843372607,0.4156229353082883,0.03920151273046982
bloodmnist,0.05,eva,5,"42,43,44,45,46",0.8535968949112704,0.028237289235562606,0.8501692757634128,0.027901021525001162,0.8669394913767904,0.023521052489408067,0.5869659390129959,0.07727403634174461,0.616311333842974,0.07213370138709531
bloodmnist,0.05,facility,5,"42,43,44,45,46",0.9139668888106748,0.011480811729035943,0.9125576660004174,0.011697780297093526,0.9075124232680503,0.012720787034498875,0.6756476683937823,0.04853471740562599,0.773035101802525,0.027159208450235756
bloodmnist,0.05,forgetting,5,"42,43,44,45,46",0.8338866584003888,0.0028195122228793276,0.8303204309165807,0.003804605583050781,0.8467699503069278,0.0018301637933350982,0.47722518183366175,0.038633640857829964,0.5167858619766961,0.03324026257226151
bloodmnist,0.05,fps,5,"42,43,44,45,46",0.9117506904145171,0.008743947645100173,0.9103690424160761,0.008419959409249337,0.9057000876936568,0.009963515755227728,0.6393782383419689,0.07679743891414705,0.7506750346639423,0.036925076000080145
bloodmnist,0.05,graph_a2,3,"42,43,44",0.911245818085931,0.018902848184854604,0.9100941364890275,0.019190848094584597,0.9055831628178895,0.021542039962458553,0.689119170984456,0.08404507813883555,0.7864609939429322,0.05313706492452578
bloodmnist,0.05,herding,5,"42,43,44,45,46",0.933690902041969,0.013301646835539999,0.9326477706349272,0.013510245308765777,0.9300204618532593,0.015404880115923695,0.7595854922279793,0.06343947825104979,0.8368206151891755,0.03998945306082055
bloodmnist,0.05,random,5,"42,43,44,45,46",0.921445784540392,0.016425106154398673,0.9189059131910194,0.016133365460859434,0.9158725518854136,0.01798777206270073,0.718825561312608,0.06002068801545926,0.7999057384027829,0.040169565484528526
organamnist,0.02,el2n,5,"42,43,44,45,46",0.6964834819518188,0.02681202833521185,0.687976591589873,0.024247111165585193,0.6748565642929464,0.019699287581117896,0.2676854508030664,0.02392374474410993,0.30132023006926756,0.023113533865013355
organamnist,0.02,eva,5,"42,43,44,45,46",0.7216077641591905,0.026767510349925024,0.7171258437042131,0.026745817551460396,0.7071774102823715,0.0249943609874129,0.247735368956743,0.02560610759845107,0.4217604333860401,0.029315631092199503
organamnist,0.02,facility,5,"42,43,44,45,46",0.8609961415899312,0.010013892073866664,0.8606010264095457,0.01022877754234917,0.8551918101023737,0.009663311610254386,0.6588054026865495,0.031116637424829684,0.7113631028054901,0.017445970066615957
organamnist,0.02,forgetting,5,"42,43,44,45,46",0.7623827850617105,0.011823755538082053,0.7572800144784183,0.012664367344104945,0.7433569580380245,0.014066013690827875,0.31802325581395346,0.05141894159874266,0.43586837008031604,0.033979360830147784
organamnist,0.02,fps,5,"42,43,44,45,46",0.8626099591314632,0.013689571570947093,0.8571769217644002,0.012801526017169029,0.8529080886488919,0.014133524329136352,0.5850312148647849,0.04919435068953311,0.6732413529455947,0.035147424476854025
organamnist,0.02,graph_a2,5,"42,43,44,45,46",0.8675400515782451,0.013998830472457167,0.8669205681197546,0.014320842359644741,0.8618404769940375,0.014159602780132993,0.6416666666666666,0.02967039390035582,0.7106517182325517,0.027651073218852525
organamnist,0.02,herding,5,"42,43,44,45,46",0.8765404446380948,0.007575300984608274,0.8758618152679678,0.007345351436080523,0.8725390932613343,0.00640377926277689,0.6639095508609977,0.016864446148942322,0.7253932028289969,0.014644816126452647
organamnist,0.02,random,5,"42,43,44,45,46",0.8632993886599623,0.004286963321617807,0.8620453155532248,0.00437190210915868,0.8611204859939251,0.005252461637709324,0.6623662642759927,0.03520557683444599,0.7203128760869656,0.01018774956004575
organamnist,0.05,el2n,5,"42,43,44,45,46",0.8228564657166172,0.017067991550949065,0.8138293799650236,0.015199225243422912,0.7942175722803465,0.017000953348841014,0.3160852713178295,0.04097015648899829,0.4972126725422138,0.04254437422547058
organamnist,0.05,eva,5,"42,43,44,45,46",0.8533584441718244,0.007281844391827138,0.8459202958138927,0.011487808064788578,0.8339858251771852,0.01324761104615161,0.4517441860465116,0.0304069088096632,0.6041999752746083,0.03769825978654162
organamnist,0.05,facility,5,"42,43,44,45,46",0.9211322780141767,0.0024785575373745105,0.9175292867105755,0.004017898009641891,0.9192935088311396,0.0037538557335393664,0.751937984496124,0.026831638558140292,0.8185896802396253,0.008427229645064043
organamnist,0.05,forgetting,5,"42,43,44,45,46",0.8486653223344969,0.007210818587928305,0.838452884761286,0.0026237790002349793,0.8256721790977612,0.0038306142867445925,0.375968992248062,0.059807313086577454,0.5759512422310696,0.014297208912799822
organamnist,0.05,fps,5,"42,43,44,45,46",0.9195596185790176,0.006388536235378511,0.9139831762212084,0.005993560532957546,0.9161772977837778,0.006104720409047832,0.7423449612403101,0.021318930556482218,0.8024811399787598,0.009791650436736146
organamnist,0.05,graph_a2,5,"42,43,44,45,46",0.9223219249275579,0.0034197441703311187,0.9182420124220347,0.004434308877510681,0.9174485318933513,0.00405143346016053,0.7477713178294574,0.021192482968140053,0.8147893231411449,0.010523686993407985
organamnist,0.05,herding,5,"42,43,44,45,46",0.9199036138782369,0.0051518625165641605,0.9150938523579057,0.006624759864770393,0.9154798065024187,0.007415270373394396,0.7531976744186046,0.029569350577923474,0.8050644760447013,0.020226450070860495
organamnist,0.05,random,5,"42,43,44,45,46",0.9138642422782229,0.00897496602079336,0.9108788406346939,0.01034628148662496,0.9118348520643492,0.010696288558941794,0.7449612403100775,0.03168471300799702,0.7985649799753224,0.02636567464956131
organsmnist,0.02,el2n,5,"42,43,44,45,46",0.41957607143448505,0.013561241858039095,0.4064465857683771,0.01677662819970469,0.38212303160756766,0.020503703106180955,0.10171258376768429,0.01422169636493024,0.19159910910232444,0.009104146326538425
organsmnist,0.02,eva,5,"42,43,44,45,46",0.4851760497833771,0.018136691926088494,0.4755453916772293,0.018875268447938697,0.4893395264529285,0.021332399307252333,0.19453302961275626,0.02726833212144951,0.26829420847124197,0.018674651926257328
