dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8
pathmnist,el2n_top,0.05,4,4,0,4491,1,499,fbb4accac5c92dc0786845e9ced3d45d04ae16ea0d212d7cbb67817a8a2e52ce,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_4/results/pathmnist/el2n_top/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,07adc4334c98939e633fc84083f2884821b0a4ebeb41941bd93470cc58b86af7,clean,0,7180,9,0.5221448467966574,0.5014638724890887,0.0023612750885478157,2.2253556145471363,0.7634442189469912,0.2968270557857323,0.4256615598885794,5744,0.3600718424671161,1720,0.9611360239162929,0.0023612750885478157,0.35398230088495575,1.0,0.242512077294686,0.7027027027027027,0.5182186234817814,0.30403800475059384,0.4282238442822384
pathmnist,eva,0.05,4,4,0,4491,1,499,e0a1102d70ccb1a54ac34266ce0b00abbed984acdb390f3c86f83fee83473cf6,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_4/results/pathmnist/eva/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,8bb6dcfcde063119594bd7fc0f2edfd558f33118141cfc469feb064f9099dcf6,clean,0,7180,9,0.7176880222841225,0.6775706026173515,0.3990498812351544,1.1199734840930575,0.4607578509126978,0.17299836341468075,0.21500696378830084,5744,0.12480608296963351,1195,0.8662182361733931,0.448642266824085,0.41002949852507375,1.0,0.9053140096618357,0.5472972972972973,0.9433198380566802,0.3990498812351544,0.578264395782644
pathmnist,facility,0.05,4,4,0,4491,1,499,9b8ad32e3bce74e3869358f5dd7ebff33ea4e4a400a16f87a9ed05ad8bc95fd9,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_4/results/pathmnist/facility/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,af4933487e0731e299e1c93f56e838c64ea7a7d08448ef68c6dfb76340c76fdb,clean,0,7180,9,0.9118384401114206,0.8891293110369128,0.47268408551068886,0.3165697235259129,0.1365936498322964,0.02409696102889464,0.02924791086350975,5744,0.017074128641710637,267,0.8968609865470852,1.0,0.9587020648967551,0.9968454258675079,0.9545893719806763,0.831081081081081,0.951417004048583,0.47268408551068886,0.9399837793998378
pathmnist,forgetting,0.05,4,4,0,4491,1,499,6adc4c31c1c0a5352a7b27c4041baf57a550c1eb3825a7d71117edfa15eed2e3,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_4/results/pathmnist/forgetting/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,2d54ba0f7a7fb66283569b1a060f6f94db9a59aca03f79f5748b14f787b92224,clean,0,7180,9,0.6608635097493036,0.6468226398221454,0.37292161520190026,1.3670663253097606,0.5498137514477458,0.18841225140855172,0.28847493036211697,5744,0.18173693707023386,1286,0.8766816143497758,0.9149940968122786,0.4778761061946903,1.0,0.4057971014492754,0.5304054054054054,0.8582995951417004,0.37292161520190026,0.3844282238442822
pathmnist,fps,0.05,4,4,0,4491,1,499,0546f53d67c953cca8c70a1358e4bebbde9aaeddc1ad55f67e54c03786f244c7,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_4/results/pathmnist/fps/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,f42a6d70552099dabb935ad73bf55a78e50c4eddddf1216742a30fef3891a55c,clean,0,7180,9,0.8486072423398329,0.8153438187255171,0.41092636579572445,0.510205712264409,0.23459915202275364,0.057326392723574246,0.08217270194986072,5744,0.0398153361438954,491,0.8452914798206278,1.0,0.831858407079646,0.9968454258675079,0.8908212560386474,0.5760135135135135,0.8893387314439946,0.41092636579572445,0.8969991889699919
pathmnist,graph_a2,0.05,4,4,0,4491,1,499,6103b0fb2d46f76830295d0b60185e0e72037f0a8582ea895cf628d7cca6c4df,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_4/results/pathmnist/graph_a2/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,fe53c8970d54acb7fc6eda658d8b3ede02035e18e44988d770382a2280f575e5,clean,0,7180,9,0.9044568245125348,0.8783132405904649,0.4323040380047506,0.31673384599595356,0.1414026859036061,0.023225450924595076,0.020891364902506964,5744,0.015542546896459529,216,0.9073243647234679,1.0,0.9587020648967551,0.9936908517350158,0.9410628019323671,0.785472972972973,0.9527665317139001,0.4323040380047506,0.9334955393349554
pathmnist,herding,0.05,4,4,0,4491,1,499,0f2fe40680c930dbeae06da8408f41664ffe85a265d6036b1be85382b5038d06,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_4/results/pathmnist/herding/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,e83c9e603a8f3554bcf897e55b942c2fefe7e81c393ec7546b1d97723d19f00b,clean,0,7180,9,0.9115598885793872,0.8807642607048801,0.42280285035629456,0.32186097720497264,0.1362011748291111,0.02879302241634525,0.027681058495821725,5744,0.01590493653076035,283,0.9424514200298953,1.0,0.9705014749262537,0.9952681388012619,0.9690821256038648,0.722972972972973,0.9743589743589743,0.42280285035629456,0.9294403892944039
pathmnist,random,0.05,4,4,0,4491,1,499,36e6674a88c454ad80de0d2204ae42a08eff482462441bd7a9cab763f7dadcbc,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/pathmnist/seed_4/results/pathmnist/random/ratio_0.05/selection_seed_4/train_seed_4/aug_0/final.pt,f0184f71e2c0b75e3240939c0892aaf0cd7ca51c986d3598cc0af9ea6908bad5,clean,0,7180,9,0.8993036211699165,0.8489097271972487,0.42280285035629456,0.36889498350735916,0.15658726826795433,0.03516379401378314,0.036385793871866294,5744,0.023605630900787804,326,0.9611360239162929,1.0,0.696165191740413,0.9858044164037855,0.9681159420289855,0.7398648648648649,0.9271255060728745,0.42280285035629456,0.9391727493917275
