dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8,recall_9,recall_10
organsmnist,el2n_top,0.05,0,0,0,693,1,63,3a9db7d3ae64d327115ab6a327ee0e1996838853c83fe40bcd4152d50e561bd9,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organsmnist/seed_0/results/organsmnist/el2n_top/ratio_0.05/selection_seed_0/train_seed_0/aug_0/final.pt,84702796c5bc9387f32f154793d8cc4ffa4b949df6456075b9956095cd95c62a,clean,0,8827,11,0.5499037045428798,0.5179224814902114,0.18763961280714817,2.0594656710931236,0.7158973594943939,0.28757775535504626,0.3935145851033702,7062,0.2867499989218781,2071,0.6720098643649816,0.3917995444191344,0.5325842696629214,0.6588235294117647,0.2840909090909091,0.2972582972582973,0.9297401347449471,0.690176322418136,0.6036446469248291,0.18763961280714817,0.4493801652892562
organsmnist,eva,0.05,0,0,0,693,1,63,cbd4c546a639bd86198cabe1195cab883906b66ea5bc77616a383a0d18437c3a,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organsmnist/seed_0/results/organsmnist/eva/ratio_0.05/selection_seed_0/train_seed_0/aug_0/final.pt,2e4b7b9e7d9683a304974dcea10db19d3af42ed12f5ad44c43857e9bc883b47c,clean,0,8827,11,0.6773535742607908,0.6398997440429635,0.3116883116883117,1.2439933804460879,0.4991680572864514,0.17898867360068377,0.25346927216086096,7062,0.15942833187835215,1364,0.8606658446362515,0.4646924829157175,0.451685393258427,0.792156862745098,0.4190340909090909,0.3116883116883117,0.9807507218479307,0.8664987405541562,0.8314350797266514,0.5003723008190618,0.5599173553719008
organsmnist,facility,0.05,0,0,0,693,1,63,e6d74418071c2d9fe1fa53690ef99f1306db9896e64d370db74da0476f6db6eb,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organsmnist/seed_0/results/organsmnist/facility/ratio_0.05/selection_seed_0/train_seed_0/aug_0/final.pt,165dace2ae1e66d9cf9d9e1978a7fe343055fe73910de921e97a59ff575591b4,clean,0,8827,11,0.7208564631245044,0.6801787467345494,0.34606741573033706,1.075153187199403,0.43584201910014947,0.1564062003156425,0.2037666383460776,7062,0.12448751446018105,1243,0.8939580764488286,0.5535307517084282,0.34606741573033706,0.7333333333333333,0.4559659090909091,0.4213564213564214,0.9619826756496631,0.9445843828715366,0.8519362186788155,0.6105733432613552,0.7086776859504132
organsmnist,forgetting,0.05,0,0,0,693,1,63,e69036990b8cc2c2abed7cc53f86b643b7e0d7b78ec132a18b6134fbb0c997ec,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organsmnist/seed_0/results/organsmnist/forgetting/ratio_0.05/selection_seed_0/train_seed_0/aug_0/final.pt,63732277571099b354c60fcea6ae2c56b68d43697f4b43c59665f9889e47b525,clean,0,8827,11,0.5816245610060043,0.511789898278039,0.18614718614718614,2.0275480112624003,0.6747387472253016,0.2798689648946252,0.3578306428773719,7062,0.2657433592946839,2089,0.8816276202219482,0.255125284738041,0.25617977528089886,0.711764705882353,0.31107954545454547,0.18614718614718614,0.9249278152069298,0.47858942065491183,0.6742596810933941,0.4117647058823529,0.5382231404958677
organsmnist,fps,0.05,0,0,0,693,1,63,e481cc6113bf9c082130fc097171dd58fc55a5bb50bc74e2797094da58db9642,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organsmnist/seed_0/results/organsmnist/fps/ratio_0.05/selection_seed_0/train_seed_0/aug_0/final.pt,cd42f4fb7e82587d7ae1f90b6a495fc7bafdd5ecac1c8492de6793bb8dcd352f,clean,0,8827,11,0.7011442166081341,0.6711503981584113,0.31457431457431456,1.1464321464248532,0.4617343835620393,0.16237188706355332,0.22429906542056074,7062,0.13134352821942674,1248,0.8569667077681874,0.39635535307517084,0.5752808988764045,0.7666666666666667,0.5582386363636364,0.31457431457431456,0.9677574590952839,0.9370277078085643,0.8542141230068337,0.49441548771407295,0.6611570247933884
organsmnist,graph_a2,0.05,0,0,0,693,1,63,edc5a21258736923a188f4c9df9f56e88b0f7a34bbac45de412d15782d3d627b,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organsmnist/seed_0/results/organsmnist/graph_a2/ratio_0.05/selection_seed_0/train_seed_0/aug_0/final.pt,2cb1b30205edf4cb53e9a2a3080dd4560d6e863e57aad5df570ad984f5cd8019,clean,0,8827,11,0.7036365696159511,0.6778561646943788,0.4044943820224719,1.0970090973974123,0.4569385333200024,0.16675682213455795,0.22571509487397337,7062,0.130374030731638,1314,0.8705302096177558,0.571753986332574,0.4044943820224719,0.8490196078431372,0.43607954545454547,0.42424242424242425,0.9393647738209817,0.9319899244332494,0.8451025056947609,0.5361131794489948,0.6477272727272727
organsmnist,herding,0.05,0,0,0,693,1,63,7c77e48a3c8bb3052458cee070a6433c566687e9da0b3684258f38d7770b698d,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organsmnist/seed_0/results/organsmnist/herding/ratio_0.05/selection_seed_0/train_seed_0/aug_0/final.pt,dbcba91398f5f6a0ebb00ae97460a50ea6d69db26f142350ce81170a29dda421,clean,0,8827,11,0.7163249122012009,0.6765947419570509,0.3849431818181818,1.0705318983441898,0.43832384932521895,0.1583365942230713,0.20674030019824413,7062,0.12487052291913926,1232,0.8631319358816276,0.4601366742596811,0.5101123595505618,0.7901960784313725,0.3849431818181818,0.44877344877344877,0.960538979788258,0.871536523929471,0.8382687927107062,0.6031273268801192,0.7117768595041323
organsmnist,random,0.05,0,0,0,693,1,63,df708928e1fa0445ed6f46006e33d1709df2afd6cbc81f3d9fcad2b8af33f013,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organsmnist/seed_0/results/organsmnist/random/ratio_0.05/selection_seed_0/train_seed_0/aug_0/final.pt,d274bd2098e8a485530c3ea6de94ac0f1eb6977f698b0f3c12682547dd687546,clean,0,8827,11,0.7233488161323213,0.6800920176855041,0.37073863636363635,1.0554566287029632,0.4301015086562,0.1513260078684071,0.20164259416595864,7062,0.11387683528873241,1180,0.87422934648582,0.46697038724373574,0.4786516853932584,0.7529411764705882,0.37073863636363635,0.43867243867243866,0.9581328200192493,0.9370277078085643,0.7881548974943052,0.612807148175726,0.8026859504132231
