dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8,recall_9,recall_10
organsmnist,el2n_top,0.02,2026,2026,0,275,1,25,1a2c31781a8dbbab3703824b19e23d4fa3124ac7a0c79c1e4717ca4d5d1648b0,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_2026/results/organsmnist/el2n_top/ratio_0.02/selection_seed_2026/train_seed_2026/aug_0/final.pt,9275096e94233480d84784cc4b5b5eba100f6160defa3ba3f60f6278e576d2a9,clean,0,8827,11,0.4218873909595559,0.40675671666817403,0.07892777364110201,2.9715287717522325,0.91322355153427,0.3797863486960532,0.5310110450297366,7062,0.4184574103554717,2511,0.4007398273736128,0.26651480637813213,0.6089887640449438,0.5470588235294118,0.28551136363636365,0.2077922077922078,0.8118383060635226,0.6221662468513854,0.5239179954441914,0.07892777364110201,0.12086776859504132
organsmnist,eva,0.02,2026,2026,0,275,1,25,d69ef5c312e305de205ddab1f56e2b41de7fba508b1d136349d04ef4a5076fd5,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_2026/results/organsmnist/eva/ratio_0.02/selection_seed_2026/train_seed_2026/aug_0/final.pt,df09fc69d186f86e46bb6052b4ec1db5813e9d197703b760c98b45e089f9b36d,clean,0,8827,11,0.4981307352441373,0.4997188541433051,0.1550561797752809,2.133896712403256,0.7684870518048174,0.2971998207077808,0.4566694987255735,7062,0.35291412351185747,1987,0.8249075215782984,0.4988610478359909,0.1550561797752809,0.6803921568627451,0.3536931818181818,0.30303030303030304,0.5668912415784408,0.690176322418136,0.6651480637813212,0.41474311243484735,0.3440082644628099
organsmnist,facility,0.02,2026,2026,0,275,1,25,03cc0c45cad7eb7fef040ceef47a50c0472fbea7e36a3ed903b404b76e780144,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_2026/results/organsmnist/facility/ratio_0.02/selection_seed_2026/train_seed_2026/aug_0/final.pt,4cba6fd5ff3c50480a97fbc43c4b72463aba6d149b8e529c20f8e144b54a5d0b,clean,0,8827,11,0.6524300441826215,0.6341057952131584,0.3940774487471526,1.3719860722640262,0.5362563940793479,0.1954847152065391,0.278816199376947,7062,0.1808248561120196,1464,0.8471023427866831,0.3940774487471526,0.5191011235955056,0.703921568627451,0.4133522727272727,0.40115440115440115,0.821944177093359,0.9319899244332494,0.8086560364464692,0.5584512285927029,0.5754132231404959
organsmnist,forgetting,0.02,2026,2026,0,275,1,25,6c90d5356b9abee112ad229aa12b29f45f49818044453dc7ce3cf08b199b5093,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_2026/results/organsmnist/forgetting/ratio_0.02/selection_seed_2026/train_seed_2026/aug_0/final.pt,77f27019b468a299c20c7b7fff05794545855c325a1eed3b5e2b4a4b28ef7003,clean,0,8827,11,0.5007363770250368,0.44096604919608196,0.11235955056179775,2.6664351452372848,0.8001601164383824,0.3340006097129885,0.448881336731804,7062,0.3345857303823261,2369,0.7287299630086314,0.36674259681093396,0.11235955056179775,0.5470588235294118,0.13352272727272727,0.4155844155844156,0.9085659287776708,0.6700251889168766,0.4123006833712984,0.22412509307520476,0.33161157024793386
organsmnist,fps,0.02,2026,2026,0,275,1,25,94a93b2dc4194f2707d8afa7e060339e33564d5f3f97f275378d36b9c67203b6,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_2026/results/organsmnist/fps/ratio_0.02/selection_seed_2026/train_seed_2026/aug_0/final.pt,6419a7fdae09eab773c08a8c8ff469d11ddaa5a5cc452ab1bff1ce7a470d72dc,clean,0,8827,11,0.6192364336694234,0.5997894256923421,0.37518037518037517,1.4503127693451,0.5794501573641911,0.20846306644122653,0.3146417445482866,7062,0.207565606090554,1478,0.7842170160295932,0.4874715261958998,0.43820224719101125,0.6254901960784314,0.38636363636363635,0.37518037518037517,0.8556304138594802,0.8740554156171285,0.835990888382688,0.4609084139985108,0.47417355371900827
organsmnist,graph_a2,0.02,2026,2026,0,275,1,25,7edf294dc8b4a5e14a4789da0d77f55fb81186c85a6b0dc08a00ae34e4900aa1,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_2026/results/organsmnist/graph_a2/ratio_0.02/selection_seed_2026/train_seed_2026/aug_0/final.pt,333c0bf05419f11a187d4ac3cb510609e6318ad0955ee85cf8377e93dd17e892,clean,0,8827,11,0.6800725048147729,0.6525639402301163,0.40482954545454547,1.4139290502554287,0.5055730455274337,0.18959932410596814,0.25049561030869444,7062,0.14603238595980297,1476,0.906288532675709,0.5353075170842825,0.41123595505617977,0.7235294117647059,0.40482954545454547,0.44733044733044736,0.9196342637151107,0.8337531486146096,0.908883826879271,0.513030528667163,0.5743801652892562
organsmnist,herding,0.02,2026,2026,0,275,1,25,eeb03be45479d333970d7e5abfc37b1762fac2acb35462043e1307c82a5a490d,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_2026/results/organsmnist/herding/ratio_0.02/selection_seed_2026/train_seed_2026/aug_0/final.pt,5b34877f310a4f96b6d9434141076bb180767616eb53e5a6b75ec02749cdebe5,clean,0,8827,11,0.6763339753030475,0.6466296315989416,0.3707865168539326,1.2511707607521416,0.4996055387923455,0.17869744344261101,0.2527612574341546,7062,0.15228503495932116,1379,0.9075215782983971,0.5466970387243736,0.3707865168539326,0.7058823529411765,0.4318181818181818,0.37806637806637805,0.888354186717998,0.8589420654911839,0.8451025056947609,0.54132539091586,0.6384297520661157
organsmnist,random,0.02,2026,2026,0,275,1,25,6d868ba5af6d5686c3f594d6b4f73fa0d640606f39a9ff93f316414bc78ba876,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/organsmnist/seed_2026/results/organsmnist/random/ratio_0.02/selection_seed_2026/train_seed_2026/aug_0/final.pt,8de747d89b62c51039f5ed76eba20b4bcba5515f9e544f902de684ae43f184be,clean,0,8827,11,0.6319247762546731,0.629294228631523,0.37806637806637805,1.5280660761622906,0.5671739590205048,0.20375003246268691,0.30062305295950154,7062,0.1983700364846531,1482,0.7484586929716399,0.3940774487471526,0.5191011235955056,0.807843137254902,0.42613636363636365,0.37806637806637805,0.7839268527430221,0.8488664987405542,0.9476082004555809,0.4720774385703649,0.5960743801652892
