dataset_label,ratio_label,method_label,training_seed,test_acc_pct,test_ba_pct,paper_mean_pct,paper_std_pct,delta_pp,within_4pp,best_val_ba_pct,best_epoch,selection_index_sha256,selected_indices_path_hpc
Blood,5%,FPS,42,87.40134463607131,88.56003365367222,89.0,2.5,-0.439966346327779,True,89.01847367104186,680,480dfe35e8478ac551ab255c627d1c35f966bf71a272a299deb6dfa93a478cba,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/bloodmnist/r0p05/fps/seed42/selected_indices.npy
Blood,5%,Facility,42,91.2890967553347,91.81877078188124,88.2,2.7,3.6187707818812385,True,92.68328385351057,630,5533b59371957edfc58e4c8887958ca90cd0c57d00a8a63570f7bb8a8d2f00e5,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/bloodmnist/r0p05/facility/seed42/selected_indices.npy
Blood,5%,Forgetting,42,84.88745980707395,83.60302616942874,81.4,2.1,2.203026169428739,True,83.81719711102656,880,556bd72a881a8a70280fb9621aa7880030eb28cdf6c62d8a2348764cece8d37e,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/bloodmnist/r0p05/forgetting/seed42/selected_indices.npy
Blood,5%,Graph-A2,42,91.17217187956737,91.57106572681452,93.4,0.7,-1.8289342731854816,True,92.9916672013193,980,d06be5ac2f4361ec295fa69b11d06085e4f2cc3a723fd8230120a8c68abc2023,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/bloodmnist/r0p05/graph_a2/seed42/selected_indices.npy
Blood,5%,Herding,42,93.10143232972815,93.0493537533406,92.3,0.6,0.7493537533405998,True,94.40061751844311,850,73742b317ec9bf1d7f72cf1cb6b9afb613fae9a7889378e801033d1836954c31,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/bloodmnist/r0p05/herding/seed42/selected_indices.npy
Blood,5%,Random,42,91.34755919321836,91.67849984206417,90.3,0.5,1.3784998420641728,True,92.89952754063606,1000,d9cc9dec932ad6ae4473a7fbe985db326d9834704c632ce78bbada63dfe74020,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/bloodmnist/r0p05/random/seed42/selected_indices.npy
Path,2%,EL2N,42,34.34540389972145,32.52562858550209,36.8,1.0,-4.274371414497907,False,42.21294901309067,480,1a2fd1050c999d962283f67d24394d5c4a3c36b0cf49eeaf1eb1efee64c5e411,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/el2n/seed42/selected_indices.npy
Path,2%,EVA,42,58.99721448467966,60.39597956106246,53.5,5.7,6.895979561062461,False,71.34761464765458,820,5f5a71e43e946db5929c19804cdbb8104baba4b5a09c4e4e5431451050d36a6d,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/eva/seed42/selected_indices.npy
Path,2%,FPS,42,80.90529247910864,77.95032324027083,73.0,3.8,4.9503232402708335,False,88.3986067355737,220,e0e9bfc3a80b2467eb7a3a06fe306850af0149c5d3152f9f30910721fc29735d,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/fps/seed42/selected_indices.npy
Path,2%,Facility,42,86.96378830083566,82.97775497170359,77.0,1.6,5.97775497170359,False,92.4270567477063,840,5e699d5311e5db93d4b8ecd9f9e36367cf144f5f95040d248fe89c37966c8092,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/facility/seed42/selected_indices.npy
Path,2%,Forgetting,42,39.317548746518106,38.80246262069914,53.5,3.9,-14.697537379300861,False,62.79048062103821,890,02d265191bd2b0536673f15a36a6b5e3e5af1d77ea754ff8fa6fa591bdbaa6aa,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/forgetting/seed42/selected_indices.npy
Path,2%,Graph-A2,42,87.72980501392757,85.10976875138412,80.9,0.9,4.209768751384118,False,95.08492891661633,570,643ebf4a0682d3ec08eb6ba2e7be07bd1f70ed2753265f25bec48300973ae418,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/graph_a2/seed42/selected_indices.npy
Path,2%,Herding,42,87.60445682451254,83.7196250473394,78.0,2.1,5.719625047339406,False,94.26391395201522,800,850c97759f95596c39f60e5baa28e96e7d4d7d185bafe15e500d85bff4ef3497,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/herding/seed42/selected_indices.npy
Path,2%,Random,42,86.75487465181058,84.1029530304822,77.5,4.6,6.6029530304821975,False,95.01791235976586,820,d905a890c8b92d0486472982b302ecdc56d3518d52d86cfe910e03a247d9eabf,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/random/seed42/selected_indices.npy
Path,5%,EL2N,42,49.05292479108635,46.10027930829655,49.9,2.4,-3.799720691703449,True,67.82544573851787,230,d2a1eede2e4543fc6f52c113b22ae29e4b4aeab40cdbc232de8442394964b159,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/el2n/seed42/selected_indices.npy
Path,5%,EVA,42,65.37604456824513,64.18708562362322,58.7,3.5,5.487085623623216,False,82.33072372288034,490,4141c7ca1cee7fb97a3cbb16111f7a695d132808269b66fe75f657116ccc7a6b,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/eva/seed42/selected_indices.npy
Path,5%,FPS,42,84.05292479108635,82.38073051074137,83.0,1.6,-0.6192694892586275,True,94.17971673222858,150,ba4af37676fad9170f1f28c54e5c18b69afa94381917ee2e9e5e4c845a0b730a,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/fps/seed42/selected_indices.npy
Path,5%,Facility,42,86.6016713091922,82.4992787343822,82.5,2.2,-0.0007212656177983945,True,93.86226663170176,210,1e55b583f6bc2bc9d1fe34bb29b2451febc3aca3da5af3302870e3b63afd136e,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/facility/seed42/selected_indices.npy
Path,5%,Forgetting,42,64.23398328690809,63.02370451486487,58.9,4.2,4.123704514864869,False,81.47548585786713,830,ffba1e243897e6e2378fb41d15d892fdedcb3c2d91d4eb938afbcae955a93fd2,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/forgetting/seed42/selected_indices.npy
Path,5%,Graph-A2,42,89.54038997214485,87.3278003967058,85.9,1.7,1.4278003967057913,True,96.05733736661962,150,b60ace052d251228dd887ea8fe31f20c7f202cafa14f29fea1a5e22e9542b8f0,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/graph_a2/seed42/selected_indices.npy
Path,5%,Herding,42,89.98607242339833,85.87236447677043,84.6,2.7,1.2723644767704343,True,95.70078059911602,400,3b1c84b67c4bcf5c85e5d09faf20b1aac2fef1f6a50f7d4a0994224baaa81a9a,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/herding/seed42/selected_indices.npy
Path,5%,Random,42,89.28969359331477,86.70772341323504,84.0,2.4,2.707723413235044,True,96.53417575701617,990,c2e2b8eabedceaea05db9f9e39b758a3674d07d45bfe845b7349ba6648adad4b,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/random/seed42/selected_indices.npy
