dataset_label,conditions,completed_runs,mae_pp,mean_bias_pp,max_abs_error_pp,within_4pp,pass_rate_pct
OrganS,14,70,1.7699006939746427,0.09164152142740585,4.745460832277068,12,85.71428571428571
OrganA,14,70,2.020353397926121,1.9125374659444934,5.6976591589873,13,92.85714285714286
Path,14,70,3.6027036731912587,1.5902370603194582,12.518588346086908,11,78.57142857142857
Tissue,14,70,1.790706315208777,-0.831706176176005,3.6266581798202324,14,100.0
Blood,14,70,1.449040087078205,0.922789949402153,3.386088568102892,14,100.0
