dataset,ratio,method,training_seed,test_acc_pct,test_ba_pct,selection_index_sha256,selected_indices_path_hpc
pathmnist,0.02,forgetting,42,39.317548746518106,38.80246262069914,02d265191bd2b0536673f15a36a6b5e3e5af1d77ea754ff8fa6fa591bdbaa6aa,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/forgetting/seed42/selected_indices.npy
pathmnist,0.02,fps,42,80.90529247910864,77.95032324027083,e0e9bfc3a80b2467eb7a3a06fe306850af0149c5d3152f9f30910721fc29735d,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/fps/seed42/selected_indices.npy
pathmnist,0.02,graph_a2,42,87.72980501392757,85.10976875138412,643ebf4a0682d3ec08eb6ba2e7be07bd1f70ed2753265f25bec48300973ae418,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/graph_a2/seed42/selected_indices.npy
pathmnist,0.02,herding,42,87.60445682451254,83.7196250473394,850c97759f95596c39f60e5baa28e96e7d4d7d185bafe15e500d85bff4ef3497,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/herding/seed42/selected_indices.npy
pathmnist,0.02,random,42,86.75487465181058,84.1029530304822,d905a890c8b92d0486472982b302ecdc56d3518d52d86cfe910e03a247d9eabf,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/random/seed42/selected_indices.npy
pathmnist,0.05,el2n,42,49.05292479108635,46.10027930829655,d2a1eede2e4543fc6f52c113b22ae29e4b4aeab40cdbc232de8442394964b159,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/el2n/seed42/selected_indices.npy
pathmnist,0.05,eva,42,65.37604456824513,64.18708562362322,4141c7ca1cee7fb97a3cbb16111f7a695d132808269b66fe75f657116ccc7a6b,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/eva/seed42/selected_indices.npy
pathmnist,0.05,facility,42,86.6016713091922,82.4992787343822,1e55b583f6bc2bc9d1fe34bb29b2451febc3aca3da5af3302870e3b63afd136e,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/facility/seed42/selected_indices.npy
pathmnist,0.05,forgetting,42,64.23398328690809,63.02370451486487,ffba1e243897e6e2378fb41d15d892fdedcb3c2d91d4eb938afbcae955a93fd2,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/forgetting/seed42/selected_indices.npy
pathmnist,0.05,fps,42,84.05292479108635,82.38073051074137,ba4af37676fad9170f1f28c54e5c18b69afa94381917ee2e9e5e4c845a0b730a,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/fps/seed42/selected_indices.npy
pathmnist,0.05,graph_a2,42,89.54038997214485,87.3278003967058,b60ace052d251228dd887ea8fe31f20c7f202cafa14f29fea1a5e22e9542b8f0,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/graph_a2/seed42/selected_indices.npy
pathmnist,0.05,herding,42,89.98607242339833,85.87236447677043,3b1c84b67c4bcf5c85e5d09faf20b1aac2fef1f6a50f7d4a0994224baaa81a9a,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/herding/seed42/selected_indices.npy
pathmnist,0.05,random,42,89.28969359331477,86.70772341323504,c2e2b8eabedceaea05db9f9e39b758a3674d07d45bfe845b7349ba6648adad4b,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/random/seed42/selected_indices.npy
