ratio,n_seeds,seeds,final_acc_mean,final_acc_std,final_acc_min,final_acc_max,final_ba_mean,final_ba_std,final_ba_min,final_ba_max,selected_sha256,paper_mean_pct,paper_std_pct,delta_pp,within_4pp
0.02,5,"42,43,44,45,46",85.75766,1.8843549249013583,83.6351,88.6908,82.21846,3.1466288044508834,77.4648,85.5409,81100af020f308e01e3325ef0e551659b9f14a32cede7df33929c9a6e7a6f7c1,80.9,0.9,1.3184599999999875,True
0.05,5,"42,43,44,45,46",89.86628,0.35707091312511424,89.3454,90.2228,87.23638,0.46607386431766035,86.6444,87.8441,c896a7fa5b0d22cf3d74802b8ac802a02db4cfce7c09e1a668f26f343ebea543,85.9,1.7,1.3363799999999912,True
