dataset,ratio,method,n_seeds,training_seeds,final_ACC_mean_pct,final_ACC_std_pct,final_BA_mean_pct,final_BA_std_pct
Blood,2%,EL2N,5,"42,43,44,45,46",51.037708272434955,9.35949213365123,50.21169713312646,9.87563515178566
Blood,2%,EVA,5,"42,43,44,45,46",77.43349897690733,2.79819269131374,73.95068826107479,2.6512185723546002
Blood,2%,FPS,5,"42,43,44,45,46",79.1756796258404,1.7847328928229398,79.53706539187446,1.76070177918595
Blood,2%,Facility,5,"42,43,44,45,46",83.23297281496639,0.79533629255736,83.33243836344127,1.18133569942515
Blood,2%,Forgetting,5,"42,43,44,45,46",70.52908506284712,2.9983309238431297,67.88609546665695,2.4862566701778
Blood,2%,Herding,5,"42,43,44,45,46",83.28558900906168,2.2819455490657297,83.3693430162584,2.2425306219742698
Blood,2%,Random,5,"42,43,44,45,46",83.50774627301959,1.65826311614521,83.04863319885156,1.36974030091951
Blood,5%,EL2N,5,"42,43,44,45,46",74.73253434668226,1.23475519928461,75.88608856810289,1.9226286439237399
Blood,5%,EVA,5,"42,43,44,45,46",86.69394913767904,2.3521052489408003,85.01692757634129,2.79010215250011
Blood,5%,FPS,5,"42,43,44,45,46",90.57000876936569,0.9963515755227701,91.0369042416076,0.84199594092493
Blood,5%,Facility,5,"42,43,44,45,46",90.75124232680504,1.27207870344988,91.25576660004174,1.16977802970935
Blood,5%,Forgetting,5,"42,43,44,45,46",84.67699503069278,0.1830163793335,83.03204309165807,0.38046055830507003
Blood,5%,Herding,5,"42,43,44,45,46",93.00204618532591,1.54048801159236,93.26477706349272,1.35102453087657
Blood,5%,Random,5,"42,43,44,45,46",91.58725518854136,1.7987772062700702,91.89059131910194,1.61333654608594
OrganA,2%,EL2N,5,"42,43,44,45,46",67.48565642929464,1.96992875811178,68.7976591589873,2.42471111655851
OrganA,2%,EVA,5,"42,43,44,45,46",70.71774102823714,2.49943609874129,71.71258437042131,2.67458175514603
OrganA,2%,FPS,5,"42,43,44,45,46",85.29080886488919,1.41335243291363,85.71769217644002,1.2801526017169
OrganA,2%,Facility,5,"42,43,44,45,46",85.51918101023736,0.9663311610254299,86.06010264095457,1.02287775423491
OrganA,2%,Forgetting,5,"42,43,44,45,46",74.33569580380245,1.40660136908278,75.72800144784183,1.26643673441049
OrganA,2%,Herding,5,"42,43,44,45,46",87.25390932613342,0.6403779262776801,87.58618152679678,0.73453514360805
OrganA,2%,Random,5,"42,43,44,45,46",86.11204859939251,0.52524616377093,86.20453155532249,0.43719021091586
