dataset,ratio,method,n_seeds,training_seeds,paper_mean_pct,paper_std_pct,reproduction_accuracy_mean_pct,reproduction_accuracy_std_pct,reproduction_final_mean_pct,reproduction_final_std_pct,reproduction_minus_paper_pp,absolute_error_pp,absolute_error_over_paper_std,absolute_error_le_4pp,best_test_diagnostic_mean_pct,best_test_minus_final_pp
OrganS,2%,Random,5,"42,43,44,45,46",57.2,4.7,64.404667497451,2.37562262190488,61.751654368522615,2.1228136588539797,4.5516543685226125,4.5516543685226125,0.9684370996856622,False,62.117614106410215,0.36595973788760006
OrganS,2%,EL2N,5,"42,43,44,45,46",39.5,2.0,38.21230316075676,2.05037031061809,40.64465857683771,1.6776628199704597,1.1446585768377133,1.1446585768377133,0.5723292884188567,True,41.9576071434485,1.3129485666107854
OrganS,2%,Forgetting,5,"42,43,44,45,46",42.5,1.4,52.389260224311776,1.76762436364441,45.59468723915887,2.38931973835909,3.0946872391588727,3.0946872391588727,2.210490885113481,True,46.34281637920906,0.7481291400501888
OrganS,2%,EVA,5,"42,43,44,45,46",52.3,1.3,48.93395264529285,2.13323993072523,47.55453916772293,1.88752684479386,-4.745460832277068,4.745460832277068,3.6503544863669752,False,48.51760497833771,0.9630658106147791
OrganS,2%,Facility,5,"42,43,44,45,46",63.3,1.2,63.34655035685963,1.80304696883621,62.64316240079598,1.59702739902657,-0.6568375992040174,0.6568375992040174,0.5473646660033479,True,63.03811120052119,0.39494879972521346
OrganS,2%,FPS,5,"42,43,44,45,46",59.6,2.7,61.61323212869605,3.07272276919472,59.08400037262476,2.50109309738451,-0.5159996273752441,0.5159996273752441,0.19111097310194225,True,59.72017831414953,0.636177941524771
OrganS,2%,Herding,5,"42,43,44,45,46",63.2,0.6,64.90993542539934,1.23405747042508,63.015216548262906,0.98941327245183,-0.18478345173709698,0.18478345173709698,0.3079724195618283,True,63.364748287738884,0.34953173947597804
OrganS,5%,Random,5,"42,43,44,45,46",66.0,1.2,69.94222272572787,1.20806422199687,66.61717190496606,1.12635235602575,0.6171719049660567,0.6171719049660567,0.5143099208050472,True,67.05860372302675,0.44143181806069265
OrganS,5%,EL2N,5,"42,43,44,45,46",51.4,0.9,52.946640987878105,0.97617853373228,52.84640813315833,1.1080621527032999,1.4464081331583287,1.4464081331583287,1.6071201479536985,True,53.016629146666936,0.17022101350860908
OrganS,5%,Forgetting,5,"42,43,44,45,46",56.6,1.1,60.09516256938937,0.69953409377302,54.036014319986414,0.9734626819274099,-2.5639856800135874,2.5639856800135874,2.3308960727396246,True,54.552860393526245,0.5168460735398313
OrganS,5%,EVA,5,"42,43,44,45,46",66.0,0.9,66.49824402401721,0.68074204723191,63.17745322618089,0.8870480336045299,-2.822546773819113,2.822546773819113,3.1361630820212363,True,63.80659232793964,0.6291391017587529
OrganS,5%,Facility,5,"42,43,44,45,46",67.7,1.1,72.3076923076923,0.46947228425959003,68.59891956561964,0.5820174660502301,0.8989195656196358,0.8989195656196358,0.8171996051087598,True,68.90078124017758,0.3018616745579408
OrganS,5%,FPS,5,"42,43,44,45,46",66.0,0.8,70.17559759827802,0.96370731413062,67.27729571955112,0.85414835019499,1.2772957195511196,1.2772957195511196,1.5966196494388996,True,67.50425983120262,0.22696411165149755
OrganS,5%,Herding,5,"42,43,44,45,46",68.1,0.7,71.7775008496658,0.76469502241546,67.84179975659546,0.90125502505455,-0.25820024340453074,0.25820024340453074,0.36885749057790107,True,68.27849040447754,0.4366906478820738
OrganA,2%,Random,5,"42,43,44,45,46",83.6,2.1,86.11204859939251,0.52524616377093,86.20453155532249,0.43719021091586,2.6045315553224953,2.6045315553224953,1.2402531215821406,True,86.32993886599623,0.12540731067373656
OrganA,2%,EL2N,5,"42,43,44,45,46",63.1,0.6,67.48565642929464,1.96992875811178,68.7976591589873,2.42471111655851,5.6976591589873,5.6976591589873,9.496098598312166,False,69.64834819518188,0.8506890361945807
OrganA,2%,Forgetting,5,"42,43,44,45,46",72.9,1.8,74.33569580380245,1.40660136908278,75.72800144784183,1.26643673441049,2.828001447841828,2.828001447841828,1.5711119154676823,True,76.23827850617106,0.5102770583292227
OrganA,2%,EVA,5,"42,43,44,45,46",68.6,2.2,70.71774102823714,2.49943609874129,71.71258437042131,2.67458175514603,3.1125843704213167,3.1125843704213167,1.4148110774642348,True,72.16077641591905,0.44819204549773417
OrganA,2%,Facility,5,"42,43,44,45,46",84.9,1.1,85.51918101023736,0.9663311610254299,86.06010264095457,1.02287775423491,1.1601026409545625,1.1601026409545625,1.0546387645041477,True,86.09961415899312,0.039511518038551685
OrganA,2%,FPS,5,"42,43,44,45,46",83.3,1.5,85.29080886488919,1.41335243291363,85.71769217644002,1.2801526017169,2.4176921764400277,2.4176921764400277,1.6117947842933518,True,86.26099591314632,0.5433037367062923
OrganA,2%,Herding,5,"42,43,44,45,46",86.3,0.7,87.25390932613342,0.6403779262776801,87.58618152679678,0.73453514360805,1.2861815267967813,1.2861815267967813,1.8374021811382593,True,87.65404446380948,0.06786293701270552
OrganA,5%,Random,5,"42,43,44,45,46",89.8,1.2,91.18348520643492,1.06962885589417,91.0878840634694,1.03462814866249,1.2878840634694058,1.2878840634694058,1.0732367195578383,True,91.38642422782229,0.298540164352886
OrganA,5%,EL2N,5,"42,43,44,45,46",80.9,0.8,79.42175722803465,1.7000953348841001,81.38293799650236,1.51992252434229,0.4829379965023577,0.4829379965023577,0.6036724956279471,True,82.28564657166172,0.9027085751593518
OrganA,5%,Forgetting,5,"42,43,44,45,46",84.6,0.2,82.56721790977612,0.38306142867445003,83.8452884761286,0.26237790002349,-0.7547115238713928,0.7547115238713928,3.773557619356964,True,84.86653223344969,1.0212437573210877
OrganA,5%,EVA,5,"42,43,44,45,46",81.0,2.0,83.39858251771852,1.32476110461516,84.59202958138927,1.14878080647885,3.5920295813892693,3.5920295813892693,1.7960147906946347,True,85.33584441718244,0.7438148357931738
OrganA,5%,Facility,5,"42,43,44,45,46",90.5,0.9,91.92935088311395,0.37538557335393,91.75292867105756,0.40178980096418004,1.2529286710575605,1.2529286710575605,1.3921429678417339,True,92.11322780141768,0.3602991303601186
OrganA,5%,FPS,5,"42,43,44,45,46",90.7,0.6,91.61772977837778,0.61047204090478,91.39831762212084,0.59935605329575,0.6983176221208396,0.6983176221208396,1.1638627035347326,True,91.95596185790176,0.5576442357809128
OrganA,5%,Herding,5,"42,43,44,45,46",90.4,0.7,91.54798065024188,0.7415270373394299,91.50938523579056,0.66247598647703,1.1093852357905547,1.1093852357905547,1.584836051129364,True,91.99036138782368,0.48097615203312216
Path,2%,Random,5,"42,43,44,45,46",77.5,4.6,84.33426183844011,1.6944887495024,81.09622654936656,1.8838487775627002,3.5962265493665626,3.5962265493665626,0.7817883802970789,True,83.7838224793568,2.6875959299902377
Path,2%,EL2N,5,"42,43,44,45,46",36.8,1.0,37.72144846796657,2.6823261482409597,36.36396074905968,2.30770773176955,-0.43603925094031837,0.43603925094031837,0.43603925094031837,True,40.29770370763185,3.933742958572168
Path,2%,Forgetting,5,"42,43,44,45,46",53.5,3.9,40.9275766016713,4.3615957880990095,40.98141165391309,4.40160432305002,-12.518588346086908,12.518588346086908,3.209894447714592,False,48.35952518108684,7.3781135271737455
Path,2%,EVA,5,"42,43,44,45,46",53.5,5.7,52.97493036211699,4.71462971349844,54.68405804999358,5.59079368097131,1.184058049993581,1.184058049993581,0.2077294824550142,True,62.52985791788663,7.845799867893049
Path,2%,Facility,5,"42,43,44,45,46",77.0,1.6,85.57381615598885,1.9022591876891,81.09182115566891,1.7865212061688,4.09182115566891,4.09182115566891,2.557388222293069,False,82.41248771704633,1.320666561377422
Path,2%,FPS,5,"42,43,44,45,46",73.0,3.8,77.64623955431756,1.62156113362492,74.59850196896365,1.37475501929391,1.598501968963646,1.598501968963646,0.42065841288517003,True,76.67407192974525,2.075569960781607
Path,2%,Herding,5,"42,43,44,45,46",78.0,2.1,86.72980501392757,2.70064652826149,81.59876761708982,3.7359724718535,3.5987676170898197,3.5987676170898197,1.7136988652808665,True,82.79667635485582,1.1979087377659994
Path,5%,Random,5,"42,43,44,45,46",84.0,2.4,90.63231197771589,0.9619409251586899,86.91395052095915,1.85270143980135,2.9139505209591476,2.9139505209591476,1.2141460503996448,True,88.42514146185187,1.5111909408927175
Path,5%,EL2N,5,"42,43,44,45,46",49.9,2.4,53.08635097493036,1.61948432985629,53.160094502451386,2.40835875816679,3.2600945024513877,3.2600945024513877,1.3583727093547449,True,57.23736335777061,4.077268855319225
Path,5%,Forgetting,5,"42,43,44,45,46",58.9,4.2,60.11977715877437,2.33953440197463,61.085824243936436,2.60449970774929,2.1858242439364375,2.1858242439364375,0.5204343437943899,True,64.77576332294994,3.689939079013506
Path,5%,EVA,5,"42,43,44,45,46",58.7,3.5,68.7966573816156,5.3882408165659,67.96711347245204,4.27365539107736,9.267113472452039,9.267113472452039,2.647746706414868,False,70.75862612700229,2.791512654550246
Path,5%,Facility,5,"42,43,44,45,46",82.5,2.2,89.7883008356546,1.43995247044444,86.30417883263381,2.11232876411886,3.8041788326338093,3.8041788326338093,1.7291721966517313,True,86.96533754993835,0.661158717304545
Path,5%,FPS,5,"42,43,44,45,46",83.0,1.6,85.2116991643454,1.32148410845979,81.86736130692462,1.54458032550746,-1.1326386930753785,1.1326386930753785,0.7078991831721115,True,84.1689857943757,2.301624487451079
Path,5%,Herding,5,"42,43,44,45,46",84.6,2.7,89.98607242339833,1.49813730710573,85.45004822105967,2.91641538539124,0.85004822105968,0.85004822105968,0.3148326744665481,True,87.95255238909544,2.5025041680357702
Tissue,2%,Random,5,"42,43,44,45,46",43.1,1.0,42.95769881556683,3.87743678156087,42.2822434111227,2.92988182397947,-0.8177565888773017,0.8177565888773017,0.8177565888773017,True,44.60027228483473,2.3180288737120307
Tissue,2%,EL2N,5,"42,43,44,45,46",10.1,0.4,10.1899323181049,0.5290722456477399,12.8239957655916,0.45760475173034004,2.723995765591601,2.723995765591601,6.809989413979003,True,14.220294691413349,1.396298925821748
Tissue,2%,Forgetting,5,"42,43,44,45,46",39.3,0.6,36.54187817258883,1.15717903482824,40.13925907283446,0.49944410544632,0.8392590728344658,0.8392590728344658,1.3987651213907764,True,41.46057018106505,1.3213111082305886
Tissue,2%,EVA,5,"42,43,44,45,46",39.8,0.6,35.72969543147208,2.29099676746642,40.028731753559846,2.34360558895156,0.22873175355984898,0.22873175355984898,0.38121958926641497,True,43.0983190876851,3.069587334125252
Tissue,2%,Facility,5,"42,43,44,45,46",44.7,1.0,46.7258883248731,1.40436826586865,44.88234668047395,1.40611877250251,0.1823466804739482,0.1823466804739482,0.1823466804739482,True,46.37477406609965,1.492427385625696
Tissue,2%,FPS,5,"42,43,44,45,46",35.6,0.9,34.85067681895093,1.7384735673306302,34.95131181248634,1.11650378664825,-0.6486881875136632,0.6486881875136632,0.7207646527929591,True,36.95905666681083,2.0077448543244927
Tissue,2%,Herding,5,"42,43,44,45,46",42.9,0.9,44.65482233502538,1.59382266074324,43.62936111097186,1.02394076996192,0.7293611109718583,0.7293611109718583,0.8104012344131759,True,44.98316317381397,1.3538020628421137
Tissue,5%,Random,5,"42,43,44,45,46",49.1,0.4,46.972081218274106,0.8763489528448,45.616891710669,1.1751316433324,-3.4831082893309997,3.4831082893309997,8.7077707233275,True,49.35246834080782,3.735576630138816
Tissue,5%,EL2N,5,"42,43,44,45,46",15.2,0.2,13.915397631133668,0.46644225385195004,17.20930658979768,0.5554685557497799,2.0093065897976814,2.0093065897976814,10.046532948988407,True,19.54534287933481,2.3360362895371303
Tissue,5%,Forgetting,5,"42,43,44,45,46",43.6,1.0,37.45642978003384,1.32260946068181,42.17719589292866,0.48555409313517,-1.422804107071343,1.422804107071343,1.422804107071343,True,44.59013706163511,2.4129411687064533
Tissue,5%,EVA,5,"42,43,44,45,46",46.7,1.0,40.80118443316413,0.75102831370751,44.39799140802519,0.53501288478874,-2.3020085919748112,2.3020085919748112,2.3020085919748112,True,47.17795846076456,2.779967052739366
Tissue,5%,Facility,5,"42,43,44,45,46",48.1,0.6,47.26903553299492,0.48050822002631,44.47334182017977,0.7546168833514,-3.6266581798202324,3.6266581798202324,6.044430299700387,True,48.31267474850484,3.839332928325071
Tissue,5%,FPS,5,"42,43,44,45,46",41.0,1.1,37.50761421319797,0.7129437658785199,37.85964458414214,0.54301038165221,-3.1403554158578615,3.1403554158578615,2.854868559870783,True,42.18222270527694,4.3225781211348036
Tissue,5%,Herding,5,"42,43,44,45,46",48.3,0.4,46.98942470389171,0.8142436859862,45.38449192075274,0.49131582253054,-2.9155080792472603,2.9155080792472603,7.288770198118151,True,49.11202411052932,3.727532189776582
