dataset_label,Random,EL2N,Forgetting,EVA,Facility,FPS,Herding
OrganS,66.00 +/- 1.20,51.40 +/- 0.90,56.60 +/- 1.10,66.00 +/- 0.90,67.70 +/- 1.10,66.00 +/- 0.80,68.10 +/- 0.70
OrganA,89.80 +/- 1.20,80.90 +/- 0.80,84.60 +/- 0.20,81.00 +/- 2.00,90.50 +/- 0.90,90.70 +/- 0.60,90.40 +/- 0.70
Path,84.00 +/- 2.40,49.90 +/- 2.40,58.90 +/- 4.20,58.70 +/- 3.50,82.50 +/- 2.20,83.00 +/- 1.60,84.60 +/- 2.70
Tissue,49.10 +/- 0.40,15.20 +/- 0.20,43.60 +/- 1.00,46.70 +/- 1.00,48.10 +/- 0.60,41.00 +/- 1.10,48.30 +/- 0.40
Blood,90.30 +/- 0.50,72.50 +/- 1.70,81.40 +/- 2.10,86.60 +/- 1.70,88.20 +/- 2.70,89.00 +/- 2.50,92.30 +/- 0.60
