method_label,conditions,completed_runs,mae_pp,mean_bias_pp,max_abs_error_pp,within_4pp,pass_rate_pct
Random,10,50,2.161424196106497,1.2709778602351485,4.5516543685226125,9,90.0
EL2N,10,50,2.249888567549604,2.1626807173615403,5.6976591589873,9,90.0
Forgetting,10,50,2.822600021912985,-0.6294179094956611,12.518588346086908,9,90.0
EVA,10,50,3.0786917588470972,0.3982116867161139,9.267113472452039,8,80.0
Facility,10,50,1.9361998288915678,1.0795006730867178,4.09182115566891,9,90.0
FPS,10,50,1.4203459044379847,0.3328095196735553,3.1403554158578615,10,100.0
Herding,10,50,1.2166355565848703,0.5449372017070928,3.5987676170898197,10,100.0
