dataset_label,Random,EL2N,Forgetting,EVA,Facility,FPS,Herding
OrganS,ACC 64.4+/-2.4; BA 61.8+/-2.1,ACC 38.2+/-2.1; BA 40.6+/-1.7,ACC 52.4+/-1.8; BA 45.6+/-2.4,ACC 48.9+/-2.1; BA 47.6+/-1.9,ACC 63.3+/-1.8; BA 62.6+/-1.6,ACC 61.6+/-3.1; BA 59.1+/-2.5,ACC 64.9+/-1.2; BA 63.0+/-1.0
OrganA,ACC 86.1+/-0.5; BA 86.2+/-0.4,ACC 67.5+/-2.0; BA 68.8+/-2.4,ACC 74.3+/-1.4; BA 75.7+/-1.3,ACC 70.7+/-2.5; BA 71.7+/-2.7,ACC 85.5+/-1.0; BA 86.1+/-1.0,ACC 85.3+/-1.4; BA 85.7+/-1.3,ACC 87.3+/-0.6; BA 87.6+/-0.7
Path,ACC 84.3+/-1.7; BA 81.1+/-1.9,ACC 37.7+/-2.7; BA 36.4+/-2.3,ACC 40.9+/-4.4; BA 41.0+/-4.4,ACC 53.0+/-4.7; BA 54.7+/-5.6,ACC 85.6+/-1.9; BA 81.1+/-1.8,ACC 77.6+/-1.6; BA 74.6+/-1.4,ACC 86.7+/-2.7; BA 81.6+/-3.7
Tissue,ACC 43.0+/-3.9; BA 42.3+/-2.9,ACC 10.2+/-0.5; BA 12.8+/-0.5,ACC 36.5+/-1.2; BA 40.1+/-0.5,ACC 35.7+/-2.3; BA 40.0+/-2.3,ACC 46.7+/-1.4; BA 44.9+/-1.4,ACC 34.9+/-1.7; BA 35.0+/-1.1,ACC 44.7+/-1.6; BA 43.6+/-1.0
Blood,ACC 83.5+/-1.7; BA 83.0+/-1.4,ACC 51.0+/-9.4; BA 50.2+/-9.9,ACC 70.5+/-3.0; BA 67.9+/-2.5,ACC 77.4+/-2.8; BA 74.0+/-2.7,ACC 83.2+/-0.8; BA 83.3+/-1.2,ACC 79.2+/-1.8; BA 79.5+/-1.8,ACC 83.3+/-2.3; BA 83.4+/-2.2
