dataset,ratio,training_seed,test_acc_pct,test_ba_pct,paper_mean_pct,paper_std_pct,delta_pp,within_4pp,best_val_ba_pct,best_epoch,selection_index_sha256,selected_indices_path_hpc
bloodmnist,0.02,42,81.26278865828705,81.01795834227015,84.5,1.7,-3.4820416577298516,True,83.0726840673222,860,5172a4d967e291669590b73ce004c76a91f1b8058a42648c960fe0d711c2642b,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/bloodmnist/r0p02/graph_a2/seed42/selected_indices.npy
bloodmnist,0.05,42,91.17217187956737,91.57106572681452,93.4,0.7,-1.8289342731854816,True,92.9916672013193,980,d06be5ac2f4361ec295fa69b11d06085e4f2cc3a723fd8230120a8c68abc2023,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/bloodmnist/r0p05/graph_a2/seed42/selected_indices.npy
pathmnist,0.02,42,87.72980501392757,85.10976875138412,80.9,0.9,4.209768751384118,False,95.08492891661633,570,643ebf4a0682d3ec08eb6ba2e7be07bd1f70ed2753265f25bec48300973ae418,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p02/graph_a2/seed42/selected_indices.npy
pathmnist,0.05,42,89.54038997214485,87.3278003967058,85.9,1.7,1.4278003967057913,True,96.05733736661962,150,b60ace052d251228dd887ea8fe31f20c7f202cafa14f29fea1a5e22e9542b8f0,/project/PROJECT_ROOT/USER/_archive_fork_20260830/table1_strict_repro/table1_reproduction/outputs/job1_selection_k50_global/pathmnist/r0p05/graph_a2/seed42/selected_indices.npy
