dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7
bloodmnist,el2n_top,0.02,6,6,0,232,1,29,de7a3baa0d030682d656430e4c166c9f37f8e5f2cb144c94b536446533e30822,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_6/results/bloodmnist/el2n_top/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,974865590ab2488f3013cfa226c60704efcefd1be7a3eb9222de2743ebc42af7,clean,0,3421,8,0.530254311604794,0.5198056280434116,0.20379965457685664,3.729218305572969,0.8107585255632563,0.37269687546306585,0.40774570697844353,2737,0.28649672376263974,1127,0.4139344262295082,0.9551282051282052,0.22186495176848875,0.20379965457685664,0.7448559670781894,0.3485915492957746,0.2702702702702703,1.0
bloodmnist,eva,0.02,6,6,0,232,1,29,5cdb83b70e98ebe9d8f7e4a35e50b50c1bfad28f62e545d1b3c30d5044a062ba,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_6/results/bloodmnist/eva/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,fd164859e14768b1f8ef73d6e5bd83efdcbf6cd40e7d2fbc5e26fa2a0dac9f5c,clean,0,3421,8,0.7588424437299035,0.7337190910831244,0.40414507772020725,1.2869521535777169,0.3868729546108274,0.15507971330087672,0.14906832298136646,2737,0.08023720428511044,455,0.5860655737704918,0.9423076923076923,0.7266881028938906,0.40414507772020725,0.5555555555555556,0.7922535211267606,0.8648648648648649,0.997872340425532
bloodmnist,facility,0.02,6,6,0,232,1,29,56e77dd0c9877bde49e1514c00c9fc282a4246e7ad6efdd5a80228954f4d62d6,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_6/results/bloodmnist/facility/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,a95a0f08bb01f658d02c31a8219647f75047e7b5496c421aafa0fd9228bbe96c,clean,0,3421,8,0.8392282958199357,0.838880071722011,0.533678756476684,0.7020705879241615,0.2581563496851227,0.09848190470767702,0.07599561563755937,2737,0.03964410631371713,315,0.819672131147541,0.9278846153846154,0.8745980707395499,0.533678756476684,0.9012345679012346,0.7394366197183099,0.9294294294294294,0.9851063829787234
bloodmnist,forgetting,0.02,6,6,0,232,1,29,8d081b654d3c1fab4b190781416b97ba8e187df9fa553e55e994cc03f263e20b,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_6/results/bloodmnist/forgetting/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,45cffa56f68d3f6aa77f323dc64c41cc741f07aaa2e22857dadcdee71e785bbf,clean,0,3421,8,0.6971645717626425,0.6531449474228641,0.1832797427652733,1.739977098560994,0.49520563532795514,0.20411244436371084,0.22725611983924004,2737,0.12104444844198407,620,0.6352459016393442,0.9455128205128205,0.1832797427652733,0.42487046632124353,0.8065843621399177,0.3873239436619718,0.8423423423423423,1.0
bloodmnist,fps,0.02,6,6,0,232,1,29,2634309fe4a1659f2e695c1ec2982e1f172c08fae93031060a455905b567ea04,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_6/results/bloodmnist/fps/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,3d0392603ad86bd1eb8f20cd784e083c9153bd9d7b56f74c5343fb34233c093b,clean,0,3421,8,0.8000584624378837,0.7969885166594581,0.47322970639032813,0.8156980085783827,0.3117982075975271,0.12078959384845453,0.10887833394227256,2737,0.05267142558792389,351,0.7418032786885246,0.9150641025641025,0.8456591639871383,0.47322970639032813,0.8847736625514403,0.647887323943662,0.8738738738738738,0.9936170212765958
bloodmnist,graph_a2,0.02,6,6,0,232,1,29,cceb572a04d00c04ed3fbd4e19c7e26d4cd6a7fd3b9100ef3cfbff0dc0f3af8b,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_6/results/bloodmnist/graph_a2/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,5292e714adc20f639b930adb6f3c7d16ec3d1f19076df0c3d21839da6ef5ca50,clean,0,3421,8,0.7886582870505701,0.792049737548217,0.6079447322970639,0.8349114784852698,0.331354162895171,0.11857269415552939,0.13956887102667154,2737,0.07428012624661767,403,0.7377049180327869,0.8253205128205128,0.8585209003215434,0.6079447322970639,0.8765432098765432,0.6619718309859155,0.7747747747747747,0.9936170212765958
bloodmnist,herding,0.02,6,6,0,232,1,29,5d0674feb3b744141e53150fb2a7afea278a296b22b88244ed98081b2f209105,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_6/results/bloodmnist/herding/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,d0082c9555592fe1fd102a94d4b2850c670f95f1be77648e850c8b3df0b7ec9c,clean,0,3421,8,0.8664133294358375,0.8747342706012073,0.6303972366148531,0.6327070162959857,0.2126712098596747,0.07779887989402971,0.050054804530507854,2737,0.0328724286115419,245,0.889344262295082,0.9743589743589743,0.8842443729903537,0.6303972366148531,0.9506172839506173,0.823943661971831,0.8513513513513513,0.9936170212765958
bloodmnist,random,0.02,6,6,0,232,1,29,eebf01b2a09df0a63ca0446dbafe1e3ca9f4febb6235fa1782567ff364568b01,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_20260922/formal/bloodmnist/seed_6/results/bloodmnist/random/ratio_0.02/selection_seed_6/train_seed_6/aug_0/final.pt,979d62db73c931bfcbda84b4d8ca919e84ff50f66cc23d4cbf6c359000b9aee6,clean,0,3421,8,0.8517977199649225,0.8377484677694089,0.6690140845070423,0.7332697654938164,0.24594494081210333,0.09236230957546418,0.07745706978443552,2737,0.04323235031303713,316,0.7909836065573771,0.9583333333333334,0.864951768488746,0.7184801381692574,0.8436213991769548,0.6690140845070423,0.8693693693693694,0.9872340425531915
