dataset,method,ratio,selection_seed,training_seed,augment,n_selected,deterministic,budget_per_class,selection_sha256,checkpoint,checkpoint_sha256,corruption,severity,n_samples,n_classes_observed,acc,ba,worst_recall,nll,brier,ece15,risk_at_80,risk_at_80_n,aurc,high_conf_errors,recall_0,recall_1,recall_2,recall_3,recall_4,recall_5,recall_6,recall_7,recall_8,recall_9,recall_10
organamnist,el2n_top,0.05,2026,2026,0,1727,1,157,71b35d9c305cf59c4c30bc794acd32201bcd990ed880daafb4b314116f5ffea9,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_2026/results/organamnist/el2n_top/ratio_0.05/selection_seed_2026/train_seed_2026/aug_0/final.pt,0ad700bce487a10c673e6897c2f5f6959aa4d29930f9e5f3816035560973a269,clean,0,17778,11,0.7946338170772865,0.8072917061333734,0.22529069767441862,0.7141999055882661,0.3013638182630412,0.09313255049592531,0.1056813387709183,14222,0.048766702847242015,1339,0.832046332046332,0.9094387755102041,0.8827238335435057,0.8764331210191083,0.22529069767441862,0.7348600508905853,0.980517503805175,1.0,0.9988968560397132,0.9044389642416769,0.5355626326963907
organamnist,eva,0.05,2026,2026,0,1727,1,157,ac092c0bfb8c85ee15ecc309fd70a3ea013e7efb1ee9a5e99318470e25c85b85,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_2026/results/organamnist/eva/ratio_0.05/selection_seed_2026/train_seed_2026/aug_0/final.pt,5ed1850c5a9fd9d021904ccd279719c928625bc5dd21ebffbd96c8451cd6e856,clean,0,17778,11,0.8120148498143773,0.8242762168857503,0.3057170542635659,0.663437650894801,0.28572691948106016,0.08722935037284886,0.10160315004921952,14222,0.05098172374995772,1490,0.9121621621621622,0.9132653061224489,0.9003783102143758,0.8420382165605096,0.3057170542635659,0.6880407124681934,0.9710806697108066,0.9959931310818546,0.9851075565361279,0.8600493218249076,0.6932059447983014
organamnist,facility,0.05,2026,2026,0,1727,1,157,79855f77d34e0556f22922b6ed446b008680b0d7f1083bc4e1ab2b57a1fcd9d9,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_2026/results/organamnist/facility/ratio_0.05/selection_seed_2026/train_seed_2026/aug_0/final.pt,9aad614bf0477ae7204ded4707c403860c13c3910ebe8195d4dc97d1d52fe87e,clean,0,17778,11,0.9177072786590168,0.9148046490690955,0.7354651162790697,0.2585678792018537,0.12137058207713337,0.024887969806440022,0.014836169315145548,14222,0.010572446601480889,525,0.9478764478764479,0.9400510204081632,0.9520807061790668,0.8114649681528663,0.7354651162790697,0.872264631043257,0.9841704718417047,0.9977103606182026,0.9950358521787093,0.9525277435265105,0.8742038216560509
organamnist,forgetting,0.05,2026,2026,0,1727,1,157,7649ddfd58339c7bcbc54ab9809382c9be6c743bb0511f3ab98bc1e1ee9c266f,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_2026/results/organamnist/forgetting/ratio_0.05/selection_seed_2026/train_seed_2026/aug_0/final.pt,62d984fae7d04a6234632dc47b941a2ecd32b8d439034efeb13fb515fdbdf09f,clean,0,17778,11,0.8651141860726741,0.8724149337867643,0.5566860465116279,0.42853265538100854,0.1991834929282957,0.03521189740832257,0.055547742933483336,14222,0.02953213681988483,780,0.9208494208494209,0.951530612244898,0.9495586380832283,0.8585987261146497,0.5566860465116279,0.656997455470738,0.9951293759512938,1.0,0.9856591285162714,0.8908754623921085,0.8306794055201698
organamnist,fps,0.05,2026,2026,0,1727,1,157,87b55102b517db411e269413b227fcf186b447c2246d6a266f541d1e42ebf01a,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_2026/results/organamnist/fps/ratio_0.05/selection_seed_2026/train_seed_2026/aug_0/final.pt,b5037d982b8927e03b9a0359c881760acc31e4cac7d2996d5580aba4a60327b8,clean,0,17778,11,0.9066261671729103,0.9061515709609208,0.6322674418604651,0.2921058453669961,0.1378934182204709,0.02289215536088851,0.02109407959499367,14222,0.013950712736924444,559,0.9459459459459459,0.9387755102040817,0.957124842370744,0.8267515923566879,0.6322674418604651,0.8381679389312977,0.9954337899543378,0.994848311390956,1.0,0.9254007398273736,0.9129511677282378
organamnist,graph_a2,0.05,2026,2026,0,1727,1,157,0107e9b9279bf18cd3a4b33abd7dce94207b750a9c9c55ecd98001942a6c753d,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_2026/results/organamnist/graph_a2/ratio_0.05/selection_seed_2026/train_seed_2026/aug_0/final.pt,839e3ce6456ef8611f486098ea89940e5507e79a75e72dd29f1e6d4760b56859,clean,0,17778,11,0.9218697266284172,0.9196012771173632,0.8081395348837209,0.2538874207036045,0.11570979904457589,0.02683516175044323,0.01603150049219519,14222,0.011731616897885934,579,0.9295366795366795,0.9489795918367347,0.9546027742749055,0.8573248407643312,0.8081395348837209,0.816793893129771,0.9902587519025875,0.9822552947910704,0.9922779922779923,0.9426633785450061,0.8927813163481954
organamnist,herding,0.05,2026,2026,0,1727,1,157,d3e2427929aa04d6b6d2c6bd236504dcccebbaea477be26cb8aebd1a0f9fe747,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_2026/results/organamnist/herding/ratio_0.05/selection_seed_2026/train_seed_2026/aug_0/final.pt,6101002cc110b1615257fc8128491972fe3870f14b14d7f91ae54ec543667483,clean,0,17778,11,0.9183260209247385,0.9190707793446012,0.7025193798449613,0.25014721171683824,0.1200386945659318,0.024937397645427482,0.013148642947546056,14222,0.00943479015257095,521,0.9333976833976834,0.9464285714285714,0.957124842370744,0.8777070063694268,0.7025193798449613,0.8483460559796437,0.9863013698630136,0.9845449341728678,0.9950358521787093,0.9574599260172626,0.9209129511677282
organamnist,random,0.05,2026,2026,0,1727,1,157,770ba1924ffc662df26fa26f534994c568cc8096f413b1eb3ccd5a76fd8f5fdb,/mnt/prj01/hgrp-1502-5TB/xuxiaoyu/reliability_medmnistc_ab/table1_clean_only_5pct_20260922/formal/organamnist/seed_2026/results/organamnist/random/ratio_0.05/selection_seed_2026/train_seed_2026/aug_0/final.pt,e6b5b703728764c4408bcc6a5e18ce0d22342065e811607f3d2c60fe6189561c,clean,0,17778,11,0.9206884913938576,0.9187187172379427,0.7228682170542635,0.24819413843481017,0.11712579865492981,0.0249868478395094,0.014625228519195612,14222,0.009740295085508431,505,0.9391891891891891,0.9489795918367347,0.9432534678436317,0.8598726114649682,0.7228682170542635,0.8595419847328244,0.9948249619482497,0.998282770463652,0.9851075565361279,0.9309494451294698,0.923036093418259
