arm,dataset,method,training_seed,selection_seed,selection_sha256,checkpoint_sha256,clean_acc,clean_ba,clean_worst_recall,clean_nll,clean_ece15,clean_aurc,corruption_conditions,corruption_acc,corruption_ba,corruption_worst_recall,corruption_nll,corruption_ece15,corruption_aurc,ba_drop
clean_selection_clean_train,organamnist,el2n_top,42,42,5d4805e886983e978361258878c7653cca597c4db7d33148315e6496679e8c8d,e2f43670979db54f61cc95b93b4556250c9a6d2f1d0a48a49266349099ed4046,0.6735290808864889,0.6913901969791906,0.18992248062015504,1.2709006466866957,0.17002304303678276,0.14654266355775095,65,0.5141964571596701,0.5218202898003381,0.08394290802652021,2.4278781949613673,0.30204866714922246,0.3292589533352842,0.16956990717885245
clean_selection_clean_train,organamnist,eva,42,42,68a8cfc54d31e71d1cc51d36a37da49cf2616e3d1942f957ea543c90926a09a0,df3a45630b3551c46b195da4c7fbb2d9d426562f2562858d3dc4416c5579ec1e,0.7112723590955113,0.7268574067088595,0.20445736434108527,1.040723009331707,0.14787408115508008,0.11377170559319529,65,0.5503811971581125,0.5501000676748701,0.08628410277773983,2.099758813662753,0.2664899085489676,0.26922603101514014,0.17675733903398938
clean_selection_clean_train,organamnist,forgetting,42,42,473d88fe3b6e4974473d0667041dbf81903d2b855af0ee28e089397c71496565,6211384d09b4d5a3f1be2cae6c855663c9357441699334ab9fbd10c7082a851e,0.7405782427719654,0.7528914396073042,0.31755725190839695,0.8997689916656635,0.11938010893669075,0.09115006809939899,65,0.5554020959353392,0.5568907553710984,0.11179840391286604,2.087618516783747,0.27052203312414214,0.2701206547083424,0.19600068423620576
clean_selection_clean_train,organamnist,random,42,42,2003a437b8ead58cb09be4a3d8fd78455fd2c1f7c52de5394b42eb65cc2b35e0,46d2dc62f848b3c6a16a16c0ff056870312ad4ba82af11f04bde402bc3a4355a,0.8674204072449094,0.8657468370321701,0.6371124031007752,0.49494484851252685,0.058293143670139685,0.024748075347750056,65,0.685057590626271,0.6768529117570805,0.32416221210010776,1.4793205133610023,0.18865983926942076,0.17352013342188805,0.18889392527508964
clean_selection_clean_train,organamnist,el2n_top,43,42,5d4805e886983e978361258878c7653cca597c4db7d33148315e6496679e8c8d,486f957ab3adac06b9f7e5b91c458301bd8225b4f7cb97131b91cf0db29b883f,0.6852851839352008,0.7037076170915776,0.18895348837209303,1.2075816892338982,0.16193424019321762,0.14407897616474724,65,0.5345734139861713,0.5427491901208699,0.09390106809944916,2.119694709118481,0.2761451564776345,0.3002097516651878,0.16095842697070772
clean_selection_clean_train,organamnist,eva,43,42,68a8cfc54d31e71d1cc51d36a37da49cf2616e3d1942f957ea543c90926a09a0,d8d305a4c6e5c5c5a34dd32a799342648772517315efbfdb9a86da173bb0562f,0.6959725503431207,0.7130762981618435,0.2010658914728682,1.0947363801833048,0.1608087298164742,0.13234018683440782,65,0.520090518099293,0.5282892907330259,0.07811328944405045,2.224582101088305,0.2939613763817403,0.2954439349122621,0.1847870074288176
clean_selection_clean_train,organamnist,forgetting,43,42,473d88fe3b6e4974473d0667041dbf81903d2b855af0ee28e089397c71496565,5cd140aa86c70d8ec4246c82178f3a138b7cd1f49283466b9c66682525b04140,0.7415344808189898,0.7495702813352678,0.3511450381679389,0.8705985362356425,0.12243463619093431,0.0957017104939818,65,0.5614536549062368,0.5588844288196215,0.13399471971978888,2.0829334520011007,0.26701095094363114,0.27285213649538725,0.1906858525156463
clean_selection_clean_train,organamnist,random,43,42,2003a437b8ead58cb09be4a3d8fd78455fd2c1f7c52de5394b42eb65cc2b35e0,f36cc79d85e01186522a61b43315d4adc0a06979db37b24ef59231001d79ee69,0.8673641579480257,0.8647856400696692,0.6744186046511628,0.48370766979792584,0.059135810818134696,0.025416005434364754,65,0.6382789445901157,0.6298451477634376,0.27423368206831805,1.8521030856419274,0.23137303597369077,0.21044285271694133,0.2349404923062316
clean_selection_clean_train,organamnist,el2n_top,44,42,5d4805e886983e978361258878c7653cca597c4db7d33148315e6496679e8c8d,ab9eae7b961903d8df926e9e49360062906835a30e7b6d58c2577c6698cd37f6,0.660985487681404,0.6809162405449289,0.14195736434108527,1.294979645868537,0.1844488527244008,0.1457193008509101,65,0.5182464065353029,0.5288971982678542,0.07214746648030405,2.2793687301415044,0.2939523744798555,0.2971993288187208,0.15201904227707475
clean_selection_clean_train,organamnist,eva,44,42,68a8cfc54d31e71d1cc51d36a37da49cf2616e3d1942f957ea543c90926a09a0,000d0aca3bb89665c2e4dcaa63601b0a9a1807ff699e1eefb923f323de338770,0.7195410057374283,0.7362246041296423,0.19864341085271317,1.1271776200343684,0.15454645395875713,0.11970270893093193,65,0.5566317921025987,0.562137093559042,0.09878217542108651,2.1018631810911046,0.2756236488862223,0.2765540190483723,0.17408751057060035
clean_selection_clean_train,organamnist,forgetting,44,42,473d88fe3b6e4974473d0667041dbf81903d2b855af0ee28e089397c71496565,7bd941d7767215a8b08b4a03acab58b3d43d00579da243689a635791ab32b2f0,0.716953538080774,0.7263227383100517,0.3374045801526718,0.9745888545673945,0.13943703183442246,0.10113893670162305,65,0.5424015853647983,0.5407069551477945,0.12864602088225072,2.1222083392156312,0.2808064952479948,0.28190246602543506,0.18561578316225713
clean_selection_clean_train,organamnist,random,44,42,2003a437b8ead58cb09be4a3d8fd78455fd2c1f7c52de5394b42eb65cc2b35e0,4b0334aa3b7d6e1f957df0893cd1d22b0b9bb4ef4406c17badbc3a07b77a8b30,0.8461019237259534,0.8475503503952769,0.6335877862595419,0.6035001385392194,0.07817749528467674,0.03708203481863893,65,0.6083811452356845,0.6003877510925936,0.24159687496289547,2.033519455637082,0.2596849039722958,0.24378553289296162,0.24716259930268336
