arm,method,n_datasets,datasets,clean_acc,clean_ba,clean_worst_recall,clean_nll,clean_ece15,clean_aurc,corruption_acc,corruption_ba,corruption_worst_recall,corruption_nll,corruption_ece15,corruption_aurc,ba_drop,worst_recall_drop
clean_selection_clean_train,el2n_top,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.41741755907807354,0.4370162172348809,0.12200423419842814,2.630393183445984,0.35738564735170225,0.4582437126912124,0.31440760340938756,0.33595782147080916,0.06303353124941474,5.132038509761203,0.4586616966796667,0.5931697793777453,0.10105839576407165,0.058970702949013395
clean_selection_clean_train,eva,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.5836611353430199,0.5874395957537029,0.2079805622437701,1.8084643376151472,0.25124742161407937,0.2828254044998973,0.4414245495294581,0.4456633939879687,0.10213105899105075,3.819251539479464,0.378867428957707,0.44239930119167725,0.1417762017657342,0.10584950325271933
clean_selection_clean_train,facility,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.7293599772641848,0.7148414440717855,0.47532851607748255,1.0091107187936545,0.14012569149644835,0.13428820243250345,0.5417010964052393,0.5404135582170443,0.24237488588825049,3.5442782071970695,0.29945033450523917,0.3217722246129919,0.17442788585474123,0.232953630189232
clean_selection_clean_train,forgetting,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.5518768958451755,0.5575581976356048,0.2349059256644513,1.8849847877092494,0.27282454951559953,0.3131760727825018,0.4131503694047881,0.41585793309778013,0.10493072515714978,5.331676883311468,0.3989701868596611,0.4703274223047614,0.1417002645378247,0.1299752005073015
clean_selection_clean_train,fps,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.6854802637666619,0.6792542136598614,0.3742237791018582,1.1206422640064269,0.14640748881855664,0.18293177475774897,0.5138339865302246,0.5097068280470566,0.1835617055662757,2.9861196015459504,0.2908583252847967,0.3526649798375462,0.16954738561280483,0.19066207353558257
clean_selection_clean_train,graph_a2,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.73299713908334,0.7183078968897234,0.47433426848716664,0.9689635098695776,0.11365286558332877,0.14214124958561672,0.527120237585227,0.5213825864538932,0.21948045760200507,3.9307356778656035,0.2965976558067278,0.34516395893873797,0.19692531043583017,0.25485381088516157
clean_selection_clean_train,herding,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.7383077608430495,0.722932754149008,0.46532813285395475,1.0391113451312048,0.1370847353911095,0.13384056220298304,0.5419268326405706,0.5319127207891068,0.2232128994055987,2.8495079525733713,0.3091514794778575,0.3286365122710444,0.1910200333599012,0.242115233448356
clean_selection_clean_train,random,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.7149707993386684,0.7006904888354368,0.44925024210527364,1.1661609065977119,0.15282582501626985,0.15959489877892663,0.5468219687435117,0.5367219958671855,0.23177205965360542,2.8469496078970353,0.2959950718216697,0.327049377045655,0.16396849296825136,0.21747818245166828
selection_corrupted_clean_train_pixelate_s3,el2n_top,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.4244803158502994,0.431940216037298,0.07685557528747602,2.897755996443074,0.3625325007408945,0.44458337813706955,0.31240752707022645,0.3221591809603663,0.03803976139996197,9.6673471239415,0.4738540426213456,0.5964156465916,0.10978103507693171,0.03881581388751405
selection_corrupted_clean_train_pixelate_s3,eva,5,"bloodmnist,organamnist,organsmnist,pathmnist,tissuemnist",0.5931653860882251,0.5788692877847175,0.2290094620756001,1.9813443332353677,0.25168975160113183,0.2878939964073503,0.4387605027239691,0.4310100320865951,0.10912830008998897,3.5986952004374935,0.3924107505159028,0.4496766007604183,0.1478592556981224,0.11988116198561116
